Home,Away,Odds_1,Odds_X,Odds_2,O_2.5,U_2.5
Brighton,Burnley,1.5,4.75,6.0,1.57,2.35
Man United,Bournemouth,1.55,4.33,5.75,1.5,2.5
Sheffield United,Brentford,4.2,3.8,1.75,1.95,1.95
Wolves,Nott'm Forest,1.85,3.6,4.33,2.06,1.84
Aston Villa,Arsenal,3.3,3.6,2.1,1.7,2.1
Everton,Chelsea,3.1,3.5,2.25,1.75,2.05
Fulham,West Ham,2.38,3.5,2.9,1.9,2.0
Luton,Man City,17.0,8.0,1.14,1.36,3.1
Tottenham,Newcastle,2.15,3.8,3.1,1.53,2.4
Nott'm Forest,Tottenham,4.2,4.2,1.73,1.62,2.25
Chelsea,Sheffield United,1.22,6.5,13.0,1.5,2.5
Man City,Crystal Palace,1.18,8.0,13.0,1.44,2.7
Newcastle,Fulham,1.8,3.8,4.0,1.7,2.1
Burnley,Everton,3.6,3.4,2.1,2.05,1.75
Arsenal,Brighton,1.44,5.0,6.0,1.53,2.4
Brentford,Aston Villa,3.2,3.75,2.1,1.7,2.1
West Ham,Wolves,2.15,3.5,3.3,1.95,1.95
Liverpool,Man United,1.3,6.0,8.0,1.33,3.4
Crystal Palace,Brighton,3.3,3.3,2.15,1.99,1.91
Aston Villa,Sheffield United,1.22,6.5,12.0,1.44,2.7
West Ham,Man United,2.6,3.6,2.6,1.7,2.1
Fulham,Burnley,1.67,3.75,5.25,1.92,1.98
Luton,Newcastle,4.75,4.2,1.65,1.75,2.05
Nott'm Forest,Bournemouth,2.75,3.4,2.55,1.95,1.95
Tottenham,Everton,1.75,4.2,4.0,1.53,2.4
Liverpool,Arsenal,2.38,3.6,2.8,1.7,2.1
Wolves,Chelsea,3.75,3.75,1.91,1.86,2.04
Newcastle,Nott'm Forest,1.5,4.33,5.75,1.8,2.0
Bournemouth,Fulham,2.15,3.6,3.2,1.73,2.08
Sheffield United,Luton,2.3,3.3,3.1,2.1,1.7
Burnley,Liverpool,6.5,5.25,1.4,1.44,2.7
Man United,Aston Villa,2.6,3.5,2.6,1.62,2.25
Brentford,Wolves,1.95,3.5,4.2,2.03,1.87
Chelsea,Crystal Palace,1.67,4.0,5.0,1.91,1.99
Everton,Man City,5.75,4.0,1.57,1.73,2.08
Brighton,Tottenham,2.5,3.6,2.6,1.44,2.7
Arsenal,West Ham,1.33,5.5,7.5,1.57,2.35
Luton,Chelsea,6.5,4.2,1.5,1.65,2.2
Aston Villa,Burnley,1.36,5.25,7.5,1.57,2.35
Crystal Palace,Brentford,2.2,3.3,3.4,2.15,1.67
Man City,Sheffield United,1.08,11.0,29.0,1.3,3.5
Wolves,Everton,2.63,3.3,2.7,2.05,1.75
Nott'm Forest,Man United,3.2,3.6,2.15,1.73,2.08
Fulham,Arsenal,5.25,4.5,1.55,1.73,2.08
Tottenham,Bournemouth,1.75,4.2,4.0,1.4,2.88
Liverpool,Newcastle,1.45,4.5,7.0,1.44,2.7
West Ham,Brighton,2.45,3.75,2.75,1.6,2.3
Burnley,Luton,2.0,3.6,3.6,1.99,1.91
Chelsea,Fulham,1.6,4.2,5.25,1.62,2.25
Newcastle,Man City,5.5,4.33,1.55,1.6,2.3
Everton,Aston Villa,2.8,3.5,2.45,1.73,2.08
Man United,Tottenham,2.2,3.75,3.0,1.48,2.6
Arsenal,Crystal Palace,1.3,5.75,9.0,1.73,2.08
