Home,Hscore,Ascore,Away,date_diff
Brentford,0,2,Newcastle Utd,85
Everton,0,1,Manchester City,85
West Ham,1,0,Wolves,84
Burnley,0,2,Leicester City,82
Leicester City,1,0,Leeds United,78
Newcastle Utd,2,1,Brighton,78
Aston Villa,4,0,Southampton,78
Burnley,0,4,Chelsea,78
Wolves,0,2,Crystal Palace,78
Norwich City,1,3,Brentford,78
Liverpool,1,0,West Ham,78
Watford,2,3,Arsenal,77
Manchester City,4,1,Manchester Utd,77
Tottenham,5,0,Everton,76
Wolves,4,0,Watford,73
Southampton,1,2,Newcastle Utd,73
Norwich City,1,3,Chelsea,73
Leeds United,0,3,Aston Villa,73
Brighton,0,2,Liverpool,71
Brentford,2,0,Burnley,71
Manchester Utd,3,2,Tottenham,71
Chelsea,1,0,Newcastle Utd,70
Southampton,1,2,Watford,70
West Ham,2,1,Aston Villa,70
Everton,0,1,Wolves,70
Leeds United,2,1,Norwich City,70
Arsenal,2,0,Leicester City,70
Crystal Palace,0,0,Manchester City,69
Brighton,0,2,Tottenham,67
Arsenal,0,2,Liverpool,67
Everton,1,0,Newcastle Utd,66
Wolves,2,3,Leeds United,65
Aston Villa,0,1,Arsenal,64
Leicester City,2,1,Brentford,63
Tottenham,3,1,West Ham,63
Liverpool,2,0,Watford,50
Wolves,2,1,Aston Villa,50
Leeds United,1,1,Southampton,50
Chelsea,1,4,Brentford,50
Burnley,0,2,Manchester City,50
Brighton,0,0,Norwich City,50
Manchester Utd,1,1,Leicester City,50
West Ham,2,1,Everton,49
Tottenham,5,1,Newcastle Utd,49
Crystal Palace,3,0,Arsenal,48
Burnley,3,2,Everton,46
Newcastle Utd,1,0,Wolves,44
Everton,1,0,Manchester Utd,43
Arsenal,1,2,Brighton,43
Southampton,0,6,Chelsea,43
Watford,0,3,Leeds United,43
Aston Villa,0,4,Tottenham,43
Brentford,2,0,West Ham,42
Leicester City,2,1,Crystal Palace,42
Norwich City,2,0,Burnley,42
Manchester City,2,2,Liverpool,42
Tottenham,0,1,Brighton,36
Manchester Utd,3,2,Norwich City,36
Watford,1,2,Brentford,36
Southampton,1,0,Arsenal,36
Newcastle Utd,2,1,Leicester City,35
West Ham,1,1,Burnley,35
Liverpool,4,0,Manchester Utd,33
Everton,1,1,Leicester City,32
Chelsea,2,4,Arsenal,32
Newcastle Utd,1,0,Crystal Palace,32
Manchester City,3,0,Brighton,32
Burnley,2,0,Southampton,31
Arsenal,3,1,Manchester Utd,29
Leicester City,0,0,Aston Villa,29
Manchester City,5,1,Watford,29
Norwich City,0,3,Newcastle Utd,29
Brentford,0,0,Tottenham,29
Brighton,2,2,Southampton,28
Burnley,1,0,Wolves,28
Chelsea,1,0,West Ham,28
Liverpool,2,0,Everton,28
Crystal Palace,0,0,Leeds United,27
Manchester Utd,1,1,Chelsea,24
Newcastle Utd,0,1,Liverpool,22
Watford,1,2,Burnley,22
Wolves,0,3,Brighton,22
Aston Villa,2,0,Norwich City,22
Southampton,1,2,Crystal Palace,22
