Home,Hscore,Ascore,Away,date
Everton,2,0,Norwich City,2021-09-25
Brentford,3,3,Liverpool,2021-09-25
Southampton,0,1,Wolves,2021-09-26
Arsenal,3,1,Tottenham,2021-09-26
Crystal Palace,1,1,Brighton,2021-09-27
Manchester Utd,1,1,Everton,2021-10-02
Wolves,2,1,Newcastle Utd,2021-10-02
Burnley,0,0,Norwich City,2021-10-02
Chelsea,3,1,Southampton,2021-10-02
Leeds United,1,0,Watford,2021-10-02
Brighton,0,0,Arsenal,2021-10-02
Tottenham,2,1,Aston Villa,2021-10-03
Crystal Palace,2,2,Leicester City,2021-10-03
West Ham,1,2,Brentford,2021-10-03
Liverpool,2,2,Manchester City,2021-10-03
Watford,0,5,Liverpool,2021-10-16
Leicester City,4,2,Manchester Utd,2021-10-16
Manchester City,2,0,Burnley,2021-10-16
Southampton,1,0,Leeds United,2021-10-16
Aston Villa,2,3,Wolves,2021-10-16
Norwich City,0,0,Brighton,2021-10-16
Brentford,0,1,Chelsea,2021-10-16
Everton,0,1,West Ham,2021-10-17
Newcastle Utd,2,3,Tottenham,2021-10-17
Arsenal,2,2,Crystal Palace,2021-10-18
Arsenal,3,1,Aston Villa,2021-10-22
Chelsea,7,0,Norwich City,2021-10-23
Leeds United,1,1,Wolves,2021-10-23
Crystal Palace,1,1,Newcastle Utd,2021-10-23
Everton,2,5,Watford,2021-10-23
Southampton,2,2,Burnley,2021-10-23
Brighton,1,4,Manchester City,2021-10-23
West Ham,1,0,Tottenham,2021-10-24
Brentford,1,2,Leicester City,2021-10-24
Manchester Utd,0,5,Liverpool,2021-10-24
Leicester City,0,2,Arsenal,2021-10-30
Newcastle Utd,0,3,Chelsea,2021-10-30
Liverpool,2,2,Brighton,2021-10-30
Burnley,3,1,Brentford,2021-10-30
Watford,0,1,Southampton,2021-10-30
Manchester City,0,2,Crystal Palace,2021-10-30
Tottenham,0,3,Manchester Utd,2021-10-30
Norwich City,1,2,Leeds United,2021-10-31
Aston Villa,1,4,West Ham,2021-10-31
Wolves,2,1,Everton,2021-11-01
Southampton,1,0,Aston Villa,2021-11-05
Manchester Utd,0,2,Manchester City,2021-11-06
Brentford,1,2,Norwich City,2021-11-06
Chelsea,1,1,Burnley,2021-11-06
Crystal Palace,2,0,Wolves,2021-11-06
Brighton,1,1,Newcastle Utd,2021-11-06
Everton,0,0,Tottenham,2021-11-07
Leeds United,1,1,Leicester City,2021-11-07
Arsenal,1,0,Watford,2021-11-07
West Ham,3,2,Liverpool,2021-11-07
Leicester City,0,3,Chelsea,2021-11-20
Wolves,1,0,West Ham,2021-11-20
Watford,4,1,Manchester Utd,2021-11-20
Norwich City,2,1,Southampton,2021-11-20
Aston Villa,2,0,Brighton,2021-11-20
Newcastle Utd,3,3,Brentford,2021-11-20
Burnley,3,3,Crystal Palace,2021-11-20
Liverpool,4,0,Arsenal,2021-11-20
Manchester City,3,0,Everton,2021-11-21
Tottenham,2,1,Leeds United,2021-11-21
Arsenal,2,0,Newcastle Utd,2021-11-27
Crystal Palace,1,2,Aston Villa,2021-11-27
Liverpool,4,0,Southampton,2021-11-27
Norwich City,0,0,Wolves,2021-11-27
Brighton,0,0,Leeds United,2021-11-27
Brentford,1,0,Everton,2021-11-28
Leicester City,4,2,Watford,2021-11-28
Manchester City,2,1,West Ham,2021-11-28
Chelsea,1,1,Manchester Utd,2021-11-28
Newcastle Utd,1,1,Norwich City,2021-11-30
Leeds United,1,0,Crystal Palace,2021-11-30
Southampton,2,2,Leicester City,2021-12-01
West Ham,1,1,Brighton,2021-12-01
Wolves,0,0,Burnley,2021-12-01
Watford,1,2,Chelsea,2021-12-01
Aston Villa,1,2,Manchester City,2021-12-01
Everton,1,4,Liverpool,2021-12-01
Tottenham,2,0,Brentford,2021-12-02
Manchester Utd,3,2,Arsenal,2021-12-02
West Ham,3,2,Chelsea,2021-12-04
Newcastle Utd,1,0,Burnley,2021-12-04
Southampton,1,1,Brighton,2021-12-04
Wolves,0,1,Liverpool,2021-12-04
Watford,1,3,Manchester City,2021-12-04
Leeds United,2,2,Brentford,2021-12-05
Tottenham,3,0,Norwich City,2021-12-05
Manchester Utd,1,0,Crystal Palace,2021-12-05
Aston Villa,2,1,Leicester City,2021-12-05
Everton,2,1,Arsenal,2021-12-06
Brentford,2,1,Watford,2021-12-10
Manchester City,1,0,Wolves,2021-12-11
Liverpool,1,0,Aston Villa,2021-12-11
Arsenal,3,0,Southampton,2021-12-11
Chelsea,3,2,Leeds United,2021-12-11
Norwich City,0,1,Manchester Utd,2021-12-11
Burnley,0,0,West Ham,2021-12-12
Leicester City,4,0,Newcastle Utd,2021-12-12
Crystal Palace,3,1,Everton,2021-12-12
Norwich City,0,2,Aston Villa,2021-12-14
Manchester City,7,0,Leeds United,2021-12-14
Brighton,0,1,Wolves,2021-12-15
Crystal Palace,2,2,Southampton,2021-12-15
Arsenal,2,0,West Ham,2021-12-15
Chelsea,1,1,Everton,2021-12-16
Liverpool,3,1,Newcastle Utd,2021-12-16
Leeds United,1,4,Arsenal,2021-12-18
Wolves,0,0,Chelsea,2021-12-19
Newcastle Utd,0,4,Manchester City,2021-12-19
Tottenham,2,2,Liverpool,2021-12-19
West Ham,2,3,Southampton,2021-12-26
Manchester City,6,3,Leicester City,2021-12-26
Norwich City,0,5,Arsenal,2021-12-26
Tottenham,3,0,Crystal Palace,2021-12-26
Aston Villa,1,3,Chelsea,2021-12-26
Brighton,2,0,Brentford,2021-12-26
Newcastle Utd,1,1,Manchester Utd,2021-12-27
Southampton,1,1,Tottenham,2021-12-28
Crystal Palace,3,0,Norwich City,2021-12-28
Watford,1,4,West Ham,2021-12-28
Leicester City,1,0,Liverpool,2021-12-28
Chelsea,1,1,Brighton,2021-12-29
Brentford,0,1,Manchester City,2021-12-29
Manchester Utd,3,1,Burnley,2021-12-30
Arsenal,1,2,Manchester City,2022-01-01
Watford,0,1,Tottenham,2022-01-01
Crystal Palace,2,3,West Ham,2022-01-01
Leeds United,3,1,Burnley,2022-01-02
Brentford,2,1,Aston Villa,2022-01-02
Everton,2,3,Brighton,2022-01-02
Chelsea,2,2,Liverpool,2022-01-02
Manchester Utd,0,1,Wolves,2022-01-03
Southampton,4,1,Brentford,2022-01-11
West Ham,2,0,Norwich City,2022-01-12
Brighton,1,1,Crystal Palace,2022-01-14
Manchester City,1,0,Chelsea,2022-01-15
Norwich City,2,1,Everton,2022-01-15
Newcastle Utd,1,1,Watford,2022-01-15
Wolves,3,1,Southampton,2022-01-15
Aston Villa,2,2,Manchester Utd,2022-01-15
West Ham,2,3,Leeds United,2022-01-16
Liverpool,3,0,Brentford,2022-01-16
Brighton,1,1,Chelsea,2022-01-18
Leicester City,2,3,Tottenham,2022-01-19
Brentford,1,3,Manchester Utd,2022-01-19
Watford,0,3,Norwich City,2022-01-21
Everton,0,1,Aston Villa,2022-01-22
Leeds United,0,1,Newcastle Utd,2022-01-22
Manchester Utd,1,0,West Ham,2022-01-22
Brentford,1,2,Wolves,2022-01-22
Southampton,1,1,Manchester City,2022-01-22
Crystal Palace,1,3,Liverpool,2022-01-23
Arsenal,0,0,Burnley,2022-01-23
Leicester City,1,1,Brighton,2022-01-23
Chelsea,2,0,Tottenham,2022-01-23
Burnley,0,0,Watford,2022-02-05
West Ham,1,0,Watford,2022-02-08
Newcastle Utd,3,1,Everton,2022-02-08
Burnley,1,1,Manchester Utd,2022-02-08
Tottenham,2,3,Southampton,2022-02-09
Norwich City,1,1,Crystal Palace,2022-02-09
Manchester City,2,0,Brentford,2022-02-09
Aston Villa,3,3,Leeds United,2022-02-09
Liverpool,2,0,Leicester City,2022-02-10
Wolves,0,1,Arsenal,2022-02-10
Manchester Utd,1,1,Southampton,2022-02-12
Everton,3,0,Leeds United,2022-02-12
Brentford,0,0,Crystal Palace,2022-02-12
Watford,0,2,Brighton,2022-02-12
Norwich City,0,4,Manchester City,2022-02-12
Newcastle Utd,1,0,Aston Villa,2022-02-13
Burnley,0,1,Liverpool,2022-02-13
Tottenham,0,2,Wolves,2022-02-13
Leicester City,2,2,West Ham,2022-02-13
Manchester Utd,2,0,Brighton,2022-02-15
West Ham,1,1,Newcastle Utd,2022-02-19
Aston Villa,0,1,Watford,2022-02-19
Arsenal,2,1,Brentford,2022-02-19
Southampton,2,0,Everton,2022-02-19
Liverpool,3,1,Norwich City,2022-02-19
Brighton,0,3,Burnley,2022-02-19
Crystal Palace,0,1,Chelsea,2022-02-19
Manchester City,2,3,Tottenham,2022-02-19
Leeds United,2,4,Manchester Utd,2022-02-20
Wolves,2,1,Leicester City,2022-02-20
Burnley,1,0,Tottenham,2022-02-23
Watford,1,4,Crystal Palace,2022-02-23
Liverpool,6,0,Leeds United,2022-02-23
Arsenal,2,1,Wolves,2022-02-24
Southampton,2,0,Norwich City,2022-02-25
Leeds United,0,4,Tottenham,2022-02-26
Crystal Palace,1,1,Burnley,2022-02-26
Manchester Utd,0,0,Watford,2022-02-26
Brighton,0,2,Aston Villa,2022-02-26
Brentford,0,2,Newcastle Utd,2022-02-26
Everton,0,1,Manchester City,2022-02-26
West Ham,1,0,Wolves,2022-02-27
Burnley,0,2,Leicester City,2022-03-01
Leicester City,1,0,Leeds United,2022-03-05
Newcastle Utd,2,1,Brighton,2022-03-05
Aston Villa,4,0,Southampton,2022-03-05
Burnley,0,4,Chelsea,2022-03-05
Wolves,0,2,Crystal Palace,2022-03-05
Norwich City,1,3,Brentford,2022-03-05
Liverpool,1,0,West Ham,2022-03-05
Watford,2,3,Arsenal,2022-03-06
Manchester City,4,1,Manchester Utd,2022-03-06
Tottenham,5,0,Everton,2022-03-07
Wolves,4,0,Watford,2022-03-10
Southampton,1,2,Newcastle Utd,2022-03-10
Norwich City,1,3,Chelsea,2022-03-10
Leeds United,0,3,Aston Villa,2022-03-10
Brighton,0,2,Liverpool,2022-03-12
Brentford,2,0,Burnley,2022-03-12
Manchester Utd,3,2,Tottenham,2022-03-12
Chelsea,1,0,Newcastle Utd,2022-03-13
Southampton,1,2,Watford,2022-03-13
West Ham,2,1,Aston Villa,2022-03-13
Everton,0,1,Wolves,2022-03-13
Leeds United,2,1,Norwich City,2022-03-13
Arsenal,2,0,Leicester City,2022-03-13
Crystal Palace,0,0,Manchester City,2022-03-14
Brighton,0,2,Tottenham,2022-03-16
Arsenal,0,2,Liverpool,2022-03-16
Everton,1,0,Newcastle Utd,2022-03-17
Wolves,2,3,Leeds United,2022-03-18
Aston Villa,0,1,Arsenal,2022-03-19
Leicester City,2,1,Brentford,2022-03-20
Tottenham,3,1,West Ham,2022-03-20
Liverpool,2,0,Watford,2022-04-02
Wolves,2,1,Aston Villa,2022-04-02
Leeds United,1,1,Southampton,2022-04-02
Chelsea,1,4,Brentford,2022-04-02
Burnley,0,2,Manchester City,2022-04-02
Brighton,0,0,Norwich City,2022-04-02
Manchester Utd,1,1,Leicester City,2022-04-02
West Ham,2,1,Everton,2022-04-03
Tottenham,5,1,Newcastle Utd,2022-04-03
Crystal Palace,3,0,Arsenal,2022-04-04
Burnley,3,2,Everton,2022-04-06
Newcastle Utd,1,0,Wolves,2022-04-08
Everton,1,0,Manchester Utd,2022-04-09
Arsenal,1,2,Brighton,2022-04-09
Southampton,0,6,Chelsea,2022-04-09
Watford,0,3,Leeds United,2022-04-09
Aston Villa,0,4,Tottenham,2022-04-09
Brentford,2,0,West Ham,2022-04-10
Leicester City,2,1,Crystal Palace,2022-04-10
Norwich City,2,0,Burnley,2022-04-10
Manchester City,2,2,Liverpool,2022-04-10
Tottenham,0,1,Brighton,2022-04-16
Manchester Utd,3,2,Norwich City,2022-04-16
Watford,1,2,Brentford,2022-04-16
Southampton,1,0,Arsenal,2022-04-16
Newcastle Utd,2,1,Leicester City,2022-04-17
West Ham,1,1,Burnley,2022-04-17
Liverpool,4,0,Manchester Utd,2022-04-19
Everton,1,1,Leicester City,2022-04-20
Chelsea,2,4,Arsenal,2022-04-20
Newcastle Utd,1,0,Crystal Palace,2022-04-20
Manchester City,3,0,Brighton,2022-04-20
Burnley,2,0,Southampton,2022-04-21
Arsenal,3,1,Manchester Utd,2022-04-23
Leicester City,0,0,Aston Villa,2022-04-23
Manchester City,5,1,Watford,2022-04-23
Norwich City,0,3,Newcastle Utd,2022-04-23
Brentford,0,0,Tottenham,2022-04-23
Brighton,2,2,Southampton,2022-04-24
Burnley,1,0,Wolves,2022-04-24
Chelsea,1,0,West Ham,2022-04-24
Liverpool,2,0,Everton,2022-04-24
Crystal Palace,0,0,Leeds United,2022-04-25
Manchester Utd,1,1,Chelsea,2022-04-28
Newcastle Utd,0,1,Liverpool,2022-04-30
Watford,1,2,Burnley,2022-04-30
Wolves,0,3,Brighton,2022-04-30
Aston Villa,2,0,Norwich City,2022-04-30
Southampton,1,2,Crystal Palace,2022-04-30
Leeds United,0,4,Manchester City,2022-04-30
Tottenham,3,1,Leicester City,2022-05-01
Everton,1,0,Chelsea,2022-05-01
West Ham,1,2,Arsenal,2022-05-01
Manchester Utd,3,0,Brentford,2022-05-02
Crystal Palace,1,0,Watford,2022-05-07
Brentford,3,0,Southampton,2022-05-07
Chelsea,2,2,Wolves,2022-05-07
Burnley,1,3,Aston Villa,2022-05-07
Brighton,4,0,Manchester Utd,2022-05-07
Liverpool,1,1,Tottenham,2022-05-07
Leicester City,1,2,Everton,2022-05-08
Norwich City,0,4,West Ham,2022-05-08
Arsenal,2,1,Leeds United,2022-05-08
Manchester City,5,0,Newcastle Utd,2022-05-08
Aston Villa,1,2,Liverpool,2022-05-10
Leeds United,0,3,Chelsea,2022-05-11
Leicester City,3,0,Norwich City,2022-05-11
Watford,0,0,Everton,2022-05-11
Wolves,1,5,Manchester City,2022-05-11
Tottenham,3,0,Arsenal,2022-05-12
Tottenham,1,0,Burnley,2022-05-15
Leeds United,1,1,Brighton,2022-05-15
Watford,1,5,Leicester City,2022-05-15
Wolves,1,1,Norwich City,2022-05-15
Aston Villa,1,1,Crystal Palace,2022-05-15
West Ham,2,2,Manchester City,2022-05-15
Everton,2,3,Brentford,2022-05-15
Newcastle Utd,2,0,Arsenal,2022-05-16
Southampton,1,2,Liverpool,2022-05-17
Everton,3,2,Crystal Palace,2022-05-19
Aston Villa,1,1,Burnley,2022-05-19
Chelsea,1,1,Leicester City,2022-05-19
Brentford,1,2,Leeds United,2022-05-22
Leicester City,4,1,Southampton,2022-05-22
Crystal Palace,1,0,Manchester Utd,2022-05-22
Arsenal,5,1,Everton,2022-05-22
Brighton,3,1,West Ham,2022-05-22
Norwich City,0,5,Tottenham,2022-05-22
Manchester City,3,2,Aston Villa,2022-05-22
Liverpool,3,1,Wolves,2022-05-22
Burnley,1,2,Newcastle Utd,2022-05-22
Chelsea,2,1,Watford,2022-05-22
