Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
Brighton,3,1,Bournemouth,2023-09-24,1.36,5.25,7.5,1.36,3.2,0.789099051550596,0.12813499298516812,0.0825195402760573,0.7287755599517718,0.4687061609039093
Chelsea,0,1,Aston Villa,2023-09-24,1.91,3.75,3.8,1.73,2.1,0.48026215626637536,0.24769360495650705,0.27204313439425365,0.5187184235729638,0.7022886962183903
Liverpool,3,1,West Ham,2023-09-24,1.4,5.0,7.0,1.4,3.0,0.6029198285108416,0.22718990977704237,0.16988708609838724,0.49084713412451286,0.7274834643341914
Sheffield Utd,0,8,Newcastle Utd,2023-09-24,7.0,4.75,1.44,1.67,2.2,0.1372197907683732,0.22598066510164921,0.6367969012437985,0.44125613243538053,0.7696425252459683
Aston Villa,6,1,Brighton,2023-09-30,2.55,3.75,2.55,1.44,2.75,0.5244155399394593,0.21615121275574622,0.2594244513789347,0.6517589802034564,0.5650103302436071
Wolves,2,1,Manchester City,2023-09-30,8.0,5.75,1.33,1.53,2.5,0.08366164016324658,0.1790635925317206,0.7372619746596539,0.4913993293612038,0.7270028352045783
Bournemouth,0,4,Arsenal,2023-09-30,5.5,4.5,1.53,1.53,2.5,0.29671626620830344,0.33138494849320255,0.3718987778833029,0.260969645962454,0.8962612268096628
Everton,1,2,Luton Town,2023-09-30,1.57,3.8,6.5,2.05,1.85,0.5111228897581395,0.20604321577197046,0.28281532326623143,0.7193625039322891,0.4813800253882639
Newcastle Utd,2,0,Burnley,2023-09-30,1.3,5.75,9.0,1.53,2.5,0.5689225932047739,0.2500815329589303,0.18099487669927491,0.42250036992014417,0.7847294547626642
West Ham,2,0,Sheffield Utd,2023-09-30,1.45,4.5,7.0,1.67,2.2,0.5730399275282373,0.23295316556917187,0.19400429476217942,0.5025022307886033,0.7170829008238857
Manchester Utd,0,1,Crystal Palace,2023-09-30,1.55,4.2,5.75,1.8,2.0,0.4046434001979125,0.3101371617483183,0.28521941182352745,0.3109232441179783,0.86524154276862
Tottenham,2,1,Liverpool,2023-09-30,2.9,4.0,2.15,1.36,3.2,0.35676301202523436,0.2505744100892514,0.39266190591757555,0.5393929941581583,0.682869205166414
Nott'ham Forest,1,1,Brentford,2023-10-01,2.75,3.1,2.7,2.1,1.73,0.35735827038822243,0.23530670549568106,0.4073330668246605,0.6114544637689365,0.6098875233218795
Fulham,0,2,Chelsea,2023-10-02,3.6,3.5,2.05,1.98,1.92,0.48880951208663953,0.2854454044358529,0.22574493018414152,0.3525361365025729,0.8370380891484399
Luton Town,1,2,Burnley,2023-10-03,2.9,3.0,2.63,2.2,1.65,0.39975297157862344,0.27220704196288026,0.32803980656233417,0.4438935347609102,0.7674783908426532
Luton Town,0,1,Tottenham,2023-10-07,6.0,4.75,1.45,1.53,2.4,0.3925932482342544,0.30079564394642605,0.30661107078479166,0.3423299054410824,0.8441536925552616
Everton,3,0,Bournemouth,2023-10-07,1.91,3.6,3.8,1.85,2.05,0.4496669150358319,0.28062881787685257,0.26970411140834816,0.39319588399323396,0.8073925513778852
Manchester Utd,2,1,Brentford,2023-10-07,1.67,4.2,4.75,1.65,2.2,0.45369983196062846,0.25388017672192503,0.29241930100620367,0.5047973181018084,0.7150098541615542
Burnley,1,4,Chelsea,2023-10-07,4.5,3.8,1.73,1.85,2.05,0.48882165315174375,0.24664332427628743,0.26453381794050645,0.5178573192728779,0.7030838987541119
Fulham,3,1,Sheffield Utd,2023-10-07,1.62,3.8,6.0,1.96,1.94,0.8672415102310977,0.0878059206754622,0.04412844997215748,0.7701883361952608,0.40866094644496226
Crystal Palace,0,0,Nott'ham Forest,2023-10-07,2.2,3.1,3.6,2.25,1.62,0.5992674686087174,0.22514364546751087,0.17558520452607135,0.5077458884946935,0.7123420881896998
West Ham,2,2,Newcastle Utd,2023-10-08,3.2,3.75,2.1,1.7,2.1,0.24254937397365164,0.25779089184346315,0.4996590800943034,0.4566486201520419,0.7569085571998164
Wolves,1,1,Aston Villa,2023-10-08,3.5,3.4,2.1,1.75,2.05,0.31746526844119527,0.30863570381763333,0.37389900573815876,0.32141542240077736,0.8583325301959777
Brighton,2,2,Liverpool,2023-10-08,3.0,3.8,2.2,1.36,3.1,0.42366783781848044,0.24284202733348392,0.3334889148672382,0.5701591617499049,0.65275844804914
Arsenal,1,0,Manchester City,2023-10-08,2.9,3.3,2.4,1.75,2.05,0.4406485832008976,0.19748648500454064,0.3618279129272422,0.7925902373342126,0.37221638630552656
Liverpool,2,0,Everton,2023-10-21,1.33,5.75,7.5,1.4,2.88,0.7891802455181117,0.14724837564097046,0.06353100614242438,0.5543043044078946,0.668478324421292
Bournemouth,1,2,Wolves,2023-10-21,2.38,3.4,3.0,1.85,2.05,0.28886256016885087,0.2748853212683996,0.43625192616716946,0.4216798853022987,0.7853765922385402
Newcastle Utd,4,0,Crystal Palace,2023-10-21,1.45,4.5,7.0,1.85,2.05,0.6045062092850814,0.24408986323519857,0.15140272938509453,0.4031279657825805,0.7998372761389593
