Home,Hscore,Ascore,Away,date
West Brom,1,3,Tottenham,2011-11-26
Sunderland,1,2,Wigan Athletic,2011-11-26
Arsenal,1,1,Fulham,2011-11-26
Bolton,0,2,Everton,2011-11-26
Chelsea,3,0,Wolves,2011-11-26
Liverpool,1,1,Manchester City,2011-11-27
Swansea City,0,0,Aston Villa,2011-11-27
Tottenham,3,0,Bolton,2011-12-03
Aston Villa,0,1,Manchester Utd,2011-12-03
Blackburn,4,2,Swansea City,2011-12-03
Newcastle Utd,0,3,Chelsea,2011-12-03
Wigan Athletic,0,4,Arsenal,2011-12-03
QPR,1,1,West Brom,2011-12-03
Manchester City,5,1,Norwich City,2011-12-03
Wolves,2,1,Sunderland,2011-12-04
Everton,0,1,Stoke City,2011-12-04
Fulham,1,0,Liverpool,2011-12-05
West Brom,1,2,Wigan Athletic,2011-12-10
Norwich City,4,2,Newcastle Utd,2011-12-10
Liverpool,1,0,QPR,2011-12-10
Bolton,1,2,Aston Villa,2011-12-10
Swansea City,2,0,Fulham,2011-12-10
Manchester Utd,4,1,Wolves,2011-12-10
Arsenal,1,0,Everton,2011-12-10
Sunderland,2,1,Blackburn,2011-12-11
Stoke City,2,1,Tottenham,2011-12-11
Chelsea,2,1,Manchester City,2011-12-12
Blackburn,1,2,West Brom,2011-12-17
Newcastle Utd,0,0,Swansea City,2011-12-17
Wigan Athletic,1,1,Chelsea,2011-12-17
Wolves,1,2,Stoke City,2011-12-17
Everton,1,1,Norwich City,2011-12-17
Fulham,2,0,Bolton,2011-12-17
QPR,0,2,Manchester Utd,2011-12-18
Tottenham,1,0,Sunderland,2011-12-18
Manchester City,1,0,Arsenal,2011-12-18
Aston Villa,0,2,Liverpool,2011-12-18
Wolves,2,2,Norwich City,2011-12-20
Blackburn,1,2,Bolton,2011-12-20
Everton,1,0,Swansea City,2011-12-21
Fulham,0,5,Manchester Utd,2011-12-21
QPR,2,3,Sunderland,2011-12-21
Aston Villa,1,2,Arsenal,2011-12-21
Manchester City,3,0,Stoke City,2011-12-21
Wigan Athletic,0,0,Liverpool,2011-12-21
Newcastle Utd,2,3,West Brom,2011-12-21
Tottenham,1,1,Chelsea,2011-12-22
Liverpool,1,1,Blackburn,2011-12-26
Sunderland,1,1,Everton,2011-12-26
West Brom,0,0,Manchester City,2011-12-26
Manchester Utd,5,0,Wigan Athletic,2011-12-26
Bolton,0,2,Newcastle Utd,2011-12-26
Chelsea,1,1,Fulham,2011-12-26
Stoke City,0,0,Aston Villa,2011-12-26
Arsenal,1,1,Wolves,2011-12-27
Swansea City,1,1,QPR,2011-12-27
Norwich City,0,2,Tottenham,2011-12-27
Liverpool,3,1,Newcastle Utd,2011-12-30
Arsenal,1,0,QPR,2011-12-31
Bolton,1,1,Wolves,2011-12-31
Norwich City,1,1,Fulham,2011-12-31
Chelsea,1,3,Aston Villa,2011-12-31
Manchester Utd,2,3,Blackburn,2011-12-31
Swansea City,1,1,Tottenham,2011-12-31
Stoke City,2,2,Wigan Athletic,2011-12-31
West Brom,0,1,Everton,2012-01-01
Sunderland,1,0,Manchester City,2012-01-01
Blackburn,1,2,Stoke City,2012-01-02
Aston Villa,0,2,Swansea City,2012-01-02
Wolves,1,2,Chelsea,2012-01-02
QPR,1,2,Norwich City,2012-01-02
Fulham,2,1,Arsenal,2012-01-02
Tottenham,1,0,West Brom,2012-01-03
Manchester City,3,0,Liverpool,2012-01-03
Wigan Athletic,1,4,Sunderland,2012-01-03
Everton,1,2,Bolton,2012-01-04
Newcastle Utd,3,0,Manchester Utd,2012-01-04
Tottenham,2,0,Everton,2012-01-11
Chelsea,1,0,Sunderland,2012-01-14
Tottenham,1,1,Wolves,2012-01-14
West Brom,1,2,Norwich City,2012-01-14
Liverpool,0,0,Stoke City,2012-01-14
Manchester Utd,3,0,Bolton,2012-01-14
Blackburn,3,1,Fulham,2012-01-14
Aston Villa,1,1,Everton,2012-01-14
Swansea City,3,2,Arsenal,2012-01-15
Newcastle Utd,1,0,QPR,2012-01-15
Wigan Athletic,0,1,Manchester City,2012-01-16
Bolton,3,1,Liverpool,2012-01-21
Everton,1,1,Blackburn,2012-01-21
Fulham,5,2,Newcastle Utd,2012-01-21
Norwich City,0,0,Chelsea,2012-01-21
Stoke City,1,2,West Brom,2012-01-21
Sunderland,2,0,Swansea City,2012-01-21
Wolves,2,3,Aston Villa,2012-01-21
QPR,3,1,Wigan Athletic,2012-01-21
Arsenal,1,2,Manchester Utd,2012-01-22
Manchester City,3,2,Tottenham,2012-01-22
Manchester Utd,2,0,Stoke City,2012-01-31
Everton,1,0,Manchester City,2012-01-31
Wolves,0,3,Liverpool,2012-01-31
Tottenham,3,1,Wigan Athletic,2012-01-31
Swansea City,1,1,Chelsea,2012-01-31
Sunderland,3,0,Norwich City,2012-02-01
Fulham,1,1,West Brom,2012-02-01
Aston Villa,2,2,QPR,2012-02-01
Bolton,0,0,Arsenal,2012-02-01
Blackburn,0,2,Newcastle Utd,2012-02-01
Stoke City,0,1,Sunderland,2012-02-04
Arsenal,7,1,Blackburn,2012-02-04
Wigan Athletic,1,1,Everton,2012-02-04
Norwich City,2,0,Bolton,2012-02-04
Manchester City,3,0,Fulham,2012-02-04
QPR,1,2,Wolves,2012-02-04
West Brom,1,2,Swansea City,2012-02-04
Newcastle Utd,2,1,Aston Villa,2012-02-05
Chelsea,3,3,Manchester Utd,2012-02-05
Liverpool,0,0,Tottenham,2012-02-06
Sunderland,1,2,Arsenal,2012-02-11
Blackburn,3,2,QPR,2012-02-11
Fulham,2,1,Stoke City,2012-02-11
Bolton,1,2,Wigan Athletic,2012-02-11
Manchester Utd,2,1,Liverpool,2012-02-11
Swansea City,2,3,Norwich City,2012-02-11
Everton,2,0,Chelsea,2012-02-11
Tottenham,5,0,Newcastle Utd,2012-02-11
Aston Villa,0,1,Manchester City,2012-02-12
Wolves,1,5,West Brom,2012-02-12
Manchester City,3,0,Blackburn,2012-02-25
Newcastle Utd,2,2,Wolves,2012-02-25
Chelsea,3,0,Bolton,2012-02-25
Wigan Athletic,0,0,Aston Villa,2012-02-25
QPR,0,1,Fulham,2012-02-25
West Brom,4,0,Sunderland,2012-02-25
Norwich City,1,2,Manchester Utd,2012-02-26
Arsenal,5,2,Tottenham,2012-02-26
Stoke City,2,0,Swansea City,2012-02-26
West Brom,1,0,Chelsea,2012-03-03
QPR,1,1,Everton,2012-03-03
Liverpool,1,2,Arsenal,2012-03-03
Wigan Athletic,0,2,Swansea City,2012-03-03
Stoke City,1,0,Norwich City,2012-03-03
Blackburn,1,1,Aston Villa,2012-03-03
Manchester City,2,0,Bolton,2012-03-03
Fulham,5,0,Wolves,2012-03-04
Newcastle Utd,1,1,Sunderland,2012-03-04
Tottenham,1,3,Manchester Utd,2012-03-04
Wolves,0,2,Blackburn,2012-03-10
Sunderland,1,0,Liverpool,2012-03-10
Aston Villa,1,0,Fulham,2012-03-10
Bolton,2,1,QPR,2012-03-10
Chelsea,1,0,Stoke City,2012-03-10
Everton,1,0,Tottenham,2012-03-10
Manchester Utd,2,0,West Brom,2012-03-11
Swansea City,1,0,Manchester City,2012-03-11
Norwich City,1,1,Wigan Athletic,2012-03-11
Arsenal,2,1,Newcastle Utd,2012-03-12
Liverpool,3,0,Everton,2012-03-13
Fulham,0,3,Swansea City,2012-03-17
Wigan Athletic,1,1,West Brom,2012-03-17
Wolves,0,5,Manchester Utd,2012-03-18
Newcastle Utd,1,0,Norwich City,2012-03-18
Blackburn,2,0,Sunderland,2012-03-20
Manchester City,2,1,Chelsea,2012-03-21
Everton,0,1,Arsenal,2012-03-21
Tottenham,1,1,Stoke City,2012-03-21
QPR,3,2,Liverpool,2012-03-21
Sunderland,3,1,QPR,2012-03-24
Chelsea,0,0,Tottenham,2012-03-24
Arsenal,3,0,Aston Villa,2012-03-24
Norwich City,2,1,Wolves,2012-03-24
Stoke City,1,1,Manchester City,2012-03-24
Liverpool,1,2,Wigan Athletic,2012-03-24
Bolton,2,1,Blackburn,2012-03-24
Swansea City,0,2,Everton,2012-03-24
West Brom,1,3,Newcastle Utd,2012-03-25
Manchester Utd,1,0,Fulham,2012-03-26
QPR,2,1,Arsenal,2012-03-31
Fulham,2,1,Norwich City,2012-03-31
Wigan Athletic,2,0,Stoke City,2012-03-31
Everton,2,0,West Brom,2012-03-31
Wolves,2,3,Bolton,2012-03-31
Aston Villa,2,4,Chelsea,2012-03-31
Manchester City,3,3,Sunderland,2012-03-31
Newcastle Utd,2,0,Liverpool,2012-04-01
Tottenham,3,1,Swansea City,2012-04-01
Blackburn,0,2,Manchester Utd,2012-04-02
Swansea City,0,2,Newcastle Utd,2012-04-06
Norwich City,2,2,Everton,2012-04-07
Stoke City,2,1,Wolves,2012-04-07
Sunderland,0,0,Tottenham,2012-04-07
West Brom,3,0,Blackburn,2012-04-07
Bolton,0,3,Fulham,2012-04-07
Liverpool,1,1,Aston Villa,2012-04-07
Chelsea,2,1,Wigan Athletic,2012-04-07
Arsenal,1,0,Manchester City,2012-04-08
Manchester Utd,2,0,QPR,2012-04-08
Tottenham,1,2,Norwich City,2012-04-09
Aston Villa,1,1,Stoke City,2012-04-09
Everton,4,0,Sunderland,2012-04-09
Fulham,1,1,Chelsea,2012-04-09
Newcastle Utd,2,0,Bolton,2012-04-09
Blackburn,2,3,Liverpool,2012-04-10
Wolves,0,3,Arsenal,2012-04-11
QPR,3,0,Swansea City,2012-04-11
Manchester City,4,0,West Brom,2012-04-11
Wigan Athletic,1,0,Manchester Utd,2012-04-11
Norwich City,1,6,Manchester City,2012-04-14
Swansea City,3,0,Blackburn,2012-04-14
West Brom,1,0,QPR,2012-04-14
Sunderland,0,0,Wolves,2012-04-14
Manchester Utd,4,0,Aston Villa,2012-04-15
Arsenal,1,2,Wigan Athletic,2012-04-16
QPR,1,0,Tottenham,2012-04-21
Fulham,2,1,Wigan Athletic,2012-04-21
Bolton,1,1,Swansea City,2012-04-21
Newcastle Utd,3,0,Stoke City,2012-04-21
Arsenal,0,0,Chelsea,2012-04-21
Aston Villa,0,0,Sunderland,2012-04-21
Blackburn,2,0,Norwich City,2012-04-21
Wolves,0,2,Manchester City,2012-04-22
Manchester Utd,4,4,Everton,2012-04-22
Liverpool,0,1,West Brom,2012-04-22
Aston Villa,1,2,Bolton,2012-04-24
Stoke City,1,1,Arsenal,2012-04-28
Norwich City,0,3,Liverpool,2012-04-28
Sunderland,2,2,Bolton,2012-04-28
Everton,4,0,Fulham,2012-04-28
Swansea City,4,4,Wolves,2012-04-28
West Brom,0,0,Aston Villa,2012-04-28
Wigan Athletic,4,0,Newcastle Utd,2012-04-28
Chelsea,6,1,QPR,2012-04-29
Tottenham,2,0,Blackburn,2012-04-29
Manchester City,1,0,Manchester Utd,2012-04-30
Liverpool,0,1,Fulham,2012-05-01
Stoke City,1,1,Everton,2012-05-01
Bolton,1,4,Tottenham,2012-05-02
Chelsea,0,2,Newcastle Utd,2012-05-02
Arsenal,3,3,Norwich City,2012-05-05
Manchester Utd,2,0,Swansea City,2012-05-06
Wolves,0,0,Everton,2012-05-06
Fulham,2,1,Sunderland,2012-05-06
Newcastle Utd,0,2,Manchester City,2012-05-06
Aston Villa,1,1,Tottenham,2012-05-06
Bolton,2,2,West Brom,2012-05-06
QPR,1,0,Stoke City,2012-05-06
Blackburn,0,1,Wigan Athletic,2012-05-07
Liverpool,4,1,Chelsea,2012-05-08
Norwich City,2,0,Aston Villa,2012-05-13
Sunderland,0,1,Manchester Utd,2012-05-13
Tottenham,2,0,Fulham,2012-05-13
West Brom,2,3,Arsenal,2012-05-13
Chelsea,2,1,Blackburn,2012-05-13
Wigan Athletic,3,2,Wolves,2012-05-13
Everton,3,1,Newcastle Utd,2012-05-13
Swansea City,1,0,Liverpool,2012-05-13
Stoke City,2,2,Bolton,2012-05-13
Manchester City,3,2,QPR,2012-05-13
