Home,Hscore,Ascore,Away,date
Leicester City,0,2,Manchester City,2021-04-03
Arsenal,0,3,Liverpool,2021-04-03
Southampton,3,2,Burnley,2021-04-04
Newcastle Utd,2,2,Tottenham,2021-04-04
Aston Villa,3,1,Fulham,2021-04-04
Manchester Utd,2,1,Brighton,2021-04-04
Everton,1,1,Crystal Palace,2021-04-05
Wolves,2,3,West Ham,2021-04-05
Fulham,0,1,Wolves,2021-04-09
Manchester City,1,2,Leeds United,2021-04-10
Liverpool,2,1,Aston Villa,2021-04-10
Crystal Palace,1,4,Chelsea,2021-04-10
Burnley,1,2,Newcastle Utd,2021-04-11
West Ham,3,2,Leicester City,2021-04-11
Tottenham,1,3,Manchester Utd,2021-04-11
Sheffield Utd,0,3,Arsenal,2021-04-11
West Brom,3,0,Southampton,2021-04-12
Brighton,0,0,Everton,2021-04-12
Everton,2,2,Tottenham,2021-04-16
Newcastle Utd,3,2,West Ham,2021-04-17
Wolves,1,0,Sheffield Utd,2021-04-17
Arsenal,1,1,Fulham,2021-04-18
Manchester Utd,3,1,Burnley,2021-04-18
Leeds United,1,1,Liverpool,2021-04-19
Chelsea,0,0,Brighton,2021-04-20
Tottenham,2,1,Southampton,2021-04-21
Aston Villa,1,2,Manchester City,2021-04-21
Leicester City,3,0,West Brom,2021-04-22
Arsenal,0,1,Everton,2021-04-23
Liverpool,1,1,Newcastle Utd,2021-04-24
West Ham,0,1,Chelsea,2021-04-24
Sheffield Utd,1,0,Brighton,2021-04-24
Wolves,0,4,Burnley,2021-04-25
Leeds United,0,0,Manchester Utd,2021-04-25
Aston Villa,2,2,West Brom,2021-04-25
Leicester City,2,1,Crystal Palace,2021-04-26
Southampton,1,1,Leicester City,2021-04-30
Crystal Palace,0,2,Manchester City,2021-05-01
Brighton,2,0,Leeds United,2021-05-01
Chelsea,2,0,Fulham,2021-05-01
Everton,1,2,Aston Villa,2021-05-01
Newcastle Utd,0,2,Arsenal,2021-05-02
Tottenham,4,0,Sheffield Utd,2021-05-02
West Brom,1,1,Wolves,2021-05-03
Burnley,1,2,West Ham,2021-05-03
Leicester City,2,4,Newcastle Utd,2021-05-07
Leeds United,3,1,Tottenham,2021-05-08
Sheffield Utd,0,2,Crystal Palace,2021-05-08
Manchester City,1,2,Chelsea,2021-05-08
Liverpool,2,0,Southampton,2021-05-08
Wolves,2,1,Brighton,2021-05-09
Aston Villa,1,3,Manchester Utd,2021-05-09
West Ham,0,1,Everton,2021-05-09
Arsenal,3,1,West Brom,2021-05-09
Fulham,0,2,Burnley,2021-05-10
Manchester Utd,1,2,Leicester City,2021-05-11
Southampton,3,1,Crystal Palace,2021-05-11
Chelsea,0,1,Arsenal,2021-05-12
Aston Villa,0,0,Everton,2021-05-13
Manchester Utd,2,4,Liverpool,2021-05-13
Newcastle Utd,3,4,Manchester City,2021-05-14
Burnley,0,4,Leeds United,2021-05-15
Southampton,3,1,Fulham,2021-05-15
Brighton,1,1,West Ham,2021-05-15
Crystal Palace,3,2,Aston Villa,2021-05-16
Tottenham,2,0,Wolves,2021-05-16
West Brom,1,2,Liverpool,2021-05-16
Everton,0,1,Sheffield Utd,2021-05-16
Manchester Utd,1,1,Fulham,2021-05-18
Southampton,0,2,Leeds United,2021-05-18
Brighton,3,2,Manchester City,2021-05-18
Chelsea,2,1,Leicester City,2021-05-18
Newcastle Utd,1,0,Sheffield Utd,2021-05-19
Tottenham,1,2,Aston Villa,2021-05-19
Everton,1,0,Wolves,2021-05-19
Crystal Palace,1,3,Arsenal,2021-05-19
Burnley,0,3,Liverpool,2021-05-19
West Brom,1,3,West Ham,2021-05-19
Aston Villa,2,1,Chelsea,2021-05-23
Leicester City,2,4,Tottenham,2021-05-23
Manchester City,5,0,Everton,2021-05-23
Sheffield Utd,1,0,Burnley,2021-05-23
Wolves,1,2,Manchester Utd,2021-05-23
West Ham,3,0,Southampton,2021-05-23
Leeds United,3,1,West Brom,2021-05-23
Arsenal,2,0,Brighton,2021-05-23
Liverpool,2,0,Crystal Palace,2021-05-23
Fulham,0,2,Newcastle Utd,2021-05-23
