Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.004,proba_draw_0.004,proba_lose_0.004,proba_O_0.004,proba_U_0.004
Arsenal,2,2,Tottenham,2023-09-24,1.67,4.33,4.33,1.5,2.63,0.5215327043468687,0.1893647880817246,0.2890348836673599,0.8119842646763041,0.012583884415890959
Brighton,3,1,Bournemouth,2023-09-24,1.36,5.25,7.5,1.36,3.2,0.8373338464728025,0.10609547364395915,0.056173951685771224,0.738385655866278,0.021389699808791542
Chelsea,0,1,Aston Villa,2023-09-24,1.91,3.75,3.8,1.73,2.1,0.3223309389641149,0.2800298666267506,0.39763907943549837,0.41427695256455443,0.09657551094388334
Liverpool,3,1,West Ham,2023-09-24,1.4,5.0,7.0,1.4,3.0,0.4561203677542417,0.3035746661327107,0.2403049108263777,0.3116805991499721,0.14148931386104915
Sheffield Utd,0,8,Newcastle Utd,2023-09-24,7.0,4.75,1.44,1.67,2.2,0.1652092868082664,0.2180118809801221,0.6167737346577068,0.521099875921788,0.06334054488881734
Aston Villa,6,1,Brighton,2023-09-30,2.55,3.75,2.55,1.44,2.75,0.4272456365531033,0.22503273618864714,0.347717353290793,0.6629321775101753,0.032959910660359686
Wolves,2,1,Manchester City,2023-09-30,8.0,5.75,1.33,1.53,2.5,0.08949970911927117,0.16581958488206988,0.744651374179033,0.5667224620418905,0.05211871043380749
Bournemouth,0,4,Arsenal,2023-09-30,5.5,4.5,1.53,1.53,2.5,0.13945157699689498,0.1656312774119971,0.6948313728459308,0.7140262328486474,0.024829912855891874
Everton,1,2,Luton Town,2023-09-30,1.57,3.8,6.5,2.05,1.85,0.6503087443405744,0.19107292610608367,0.15859547458751355,0.6297765206447989,0.03894848372196353
Newcastle Utd,2,0,Burnley,2023-09-30,1.3,5.75,9.0,1.53,2.5,0.9188423876532966,0.05837352021281486,0.02113221588526998,0.794465471448318,0.014469649506906329
West Ham,2,0,Sheffield Utd,2023-09-30,1.45,4.5,7.0,1.67,2.2,0.7212387404139385,0.14741963039082565,0.13108785738589918,0.7883578611522826,0.015166581621134198
Manchester Utd,0,1,Crystal Palace,2023-09-30,1.55,4.2,5.75,1.8,2.0,0.5330159306472296,0.2552589267923123,0.21172435218369168,0.4390145023694323,0.08785953726378969
Tottenham,2,1,Liverpool,2023-09-30,2.9,4.0,2.15,1.36,3.2,0.5077161311074545,0.2744334459542664,0.21785014125150237,0.38038720469264603,0.10968858387581071
Nott'ham Forest,1,1,Brentford,2023-10-01,2.75,3.1,2.7,2.1,1.73,0.33351508651393846,0.27445050999303544,0.3920342498736286,0.43703920741855695,0.08853979910829171
Fulham,0,2,Chelsea,2023-10-02,3.6,3.5,2.05,1.98,1.92,0.47413728414951845,0.33165283750560026,0.19420985832034826,0.22743254512036765,0.19392581797190778
Luton Town,1,2,Burnley,2023-10-03,2.9,3.0,2.63,2.2,1.65,0.19208404897503323,0.32126708364522855,0.48664883489656663,0.2459360717208804,0.18074575911101903
Luton Town,0,1,Tottenham,2023-10-07,6.0,4.75,1.45,1.53,2.4,0.05253571294681569,0.1370708569526602,0.8103444310935635,0.5535572842125838,0.05518330163712613
Everton,3,0,Bournemouth,2023-10-07,1.91,3.6,3.8,1.85,2.05,0.554585731495542,0.25372004644546753,0.19169337477254816,0.4231674112500948,0.09335289683606936
Manchester Utd,2,1,Brentford,2023-10-07,1.67,4.2,4.75,1.65,2.2,0.43578302434042593,0.2867310661310307,0.277485804799961,0.3773728930746796,0.11093724847452426
Burnley,1,4,Chelsea,2023-10-07,4.5,3.8,1.73,1.85,2.05,0.3193506696066819,0.3303235511375212,0.3503257725196026,0.2661350987689746,0.1675577150279101
Fulham,3,1,Sheffield Utd,2023-10-07,1.62,3.8,6.0,1.96,1.94,0.7180147961063899,0.1966382005074354,0.08534134142408359,0.43260434849168417,0.090011136830947
Crystal Palace,0,0,Nott'ham Forest,2023-10-07,2.2,3.1,3.6,2.25,1.62,0.5118915653588756,0.26495921963421654,0.22314875431054587,0.4156619140523587,0.09606083230555544
West Ham,2,2,Newcastle Utd,2023-10-08,3.2,3.75,2.1,1.7,2.1,0.26116159162040586,0.2530064566930499,0.48583112381477483,0.4901168679233858,0.07188794823054391
Wolves,1,1,Aston Villa,2023-10-08,3.5,3.4,2.1,1.75,2.05,0.21368934001496315,0.23021211343781586,0.5560952640002492,0.5398369956182861,0.05855771791442233
Brighton,2,2,Liverpool,2023-10-08,3.0,3.8,2.2,1.36,3.1,0.5223463801303226,0.262751281158605,0.21490181254723117,0.41592043089358804,0.09596534830997844
Arsenal,1,0,Manchester City,2023-10-08,2.9,3.3,2.4,1.75,2.05,0.33172546653469637,0.19884767083853572,0.4693934244121073,0.7899417174916422,0.014988861600937646
Liverpool,2,0,Everton,2023-10-21,1.33,5.75,7.5,1.4,2.88,0.5283478525643378,0.307000195400404,0.16465188295783684,0.2565339213835722,0.17366043004108594
Bournemouth,1,2,Wolves,2023-10-21,2.38,3.4,3.0,1.85,2.05,0.3108838554527573,0.2723368202846179,0.41677912709501225,0.43968323942340753,0.08764285056579013
Newcastle Utd,4,0,Crystal Palace,2023-10-21,1.45,4.5,7.0,1.85,2.05,0.6373454745940028,0.22390133351022026,0.13875020875644686,0.4519426730101845,0.08355959892002555
Brentford,3,0,Burnley,2023-10-21,1.83,3.75,4.2,1.95,1.95,0.7243127236028046,0.15232711988272657,0.12321048014299907,0.7408849495144578,0.02105818150816078
Manchester City,2,1,Brighton,2023-10-21,1.4,5.25,6.5,1.36,3.1,0.7553532953865137,0.13774511199391187,0.10663154825170795,0.7694301083177364,0.01740028827911412
Nott'ham Forest,2,2,Luton Town,2023-10-21,1.67,3.75,5.5,2.08,1.82,0.5283694049743232,0.2837205299271132,0.18790987562450076,0.3288770556666603,0.1327684823647988
Chelsea,2,2,Arsenal,2023-10-21,3.2,3.4,2.25,1.98,1.92,0.3434480983662821,0.23735759610244928,0.4191925510849781,0.6005533860461466,0.044760625671415956
Sheffield Utd,1,2,Manchester Utd,2023-10-21,6.5,5.25,1.4,1.53,2.4,0.16511725829934598,0.2627981423239125,0.5720840855709951,0.36418710355659645,0.11649433202684853
Aston Villa,4,1,West Ham,2023-10-22,1.85,3.6,4.0,1.57,2.35,0.646224368606451,0.18335471659152053,0.17037760092302362,0.6917649960687202,0.028212206146551486
Tottenham,2,0,Fulham,2023-10-23,1.5,4.5,6.0,1.5,2.5,0.6493900589742158,0.20959115596643918,0.14101236969662329,0.5110330683703195,0.06602209731852027
Crystal Palace,1,2,Tottenham,2023-10-27,4.5,3.75,1.75,1.94,1.96,0.35419672609175107,0.2807472041192429,0.3650559711511101,0.4154597358769517,0.09614391054955865
Chelsea,0,2,Brentford,2023-10-28,1.65,4.0,5.25,1.8,2.0,0.3656001837993029,0.2847264215920823,0.34967331641438576,0.4008669272424893,0.10159445178711116
Bournemouth,2,1,Burnley,2023-10-28,2.15,3.5,3.3,1.75,2.05,0.3557781999959839,0.28457272933246824,0.3596489922028158,0.4015788444106522,0.10132249422585762
Arsenal,5,0,Sheffield Utd,2023-10-28,1.13,8.5,19.0,1.36,3.1,0.8494624261355764,0.0879190519902114,0.06043740938366725,0.8718032287672646,0.0070114289020833725
Wolves,2,2,Newcastle Utd,2023-10-28,4.2,4.0,1.75,1.75,2.05,0.12358993368966519,0.20904846501779792,0.667356212917797,0.47727470450469384,0.07564619362066007
West Ham,0,1,Everton,2023-10-29,2.15,3.5,3.3,1.73,2.08,0.5489396709707857,0.2274223831473595,0.2236339602947036,0.5638720346073502,0.05279498041402127
Liverpool,3,0,Nott'ham Forest,2023-10-29,1.29,5.75,11.0,1.4,2.88,0.39315180681636686,0.3427372951202678,0.2641108922088325,0.2314296985086351,0.19100226989986488
Brighton,1,1,Fulham,2023-10-29,1.55,4.2,5.5,1.5,2.5,0.6783526566274497,0.17974948578289926,0.14186169112337993,0.6480550402778797,0.03556784882615446
Aston Villa,3,1,Luton Town,2023-10-29,1.25,6.5,9.5,1.48,2.6,0.8530442777458369,0.10244103139653503,0.04423562566891538,0.6890331208563225,0.028629460042458463
Manchester Utd,0,3,Manchester City,2023-10-29,5.0,3.8,1.67,1.7,2.1,0.2311568521629938,0.2655627959686919,0.5032799145480021,0.4201924477217538,0.09442286583468326
Fulham,0,1,Manchester Utd,2023-11-04,3.2,3.6,2.2,1.75,2.05,0.4230170350275635,0.29238675835226385,0.28459613479429,0.36227869362173554,0.11734561037316035
Brentford,3,2,West Ham,2023-11-04,2.05,3.6,3.5,1.73,2.08,0.5845932670448003,0.21596951385561552,0.1994299604163732,0.5840099368678477,0.04827173759378121
Everton,1,1,Brighton,2023-11-04,3.1,3.6,2.2,1.57,2.35,0.2690434184161852,0.21370261763929083,0.5172433629251402,0.6754836471910601,0.030841987160701037
Burnley,0,2,Crystal Palace,2023-11-04,2.75,3.25,2.6,2.2,1.65,0.34776938781338507,0.2855946152871586,0.36663592240576354,0.39769945735888257,0.10281231636605348
Manchester City,6,1,Bournemouth,2023-11-04,1.1,11.0,19.0,1.29,3.6,0.9199758272945338,0.05906686839376695,0.01963604428292223,0.7726122251087381,0.017005675514205894
Sheffield Utd,2,1,Wolves,2023-11-04,3.8,3.5,2.0,1.91,1.99,0.20548355113881045,0.23191549382409216,0.5625980561974859,0.5224754047134748,0.06298518122677502
Newcastle Utd,1,0,Arsenal,2023-11-04,2.8,3.2,2.6,1.95,1.95,0.6746832575177635,0.17363766304451364,0.15161658649684023,0.7016087587375406,0.026686984171150938
Nott'ham Forest,2,0,Aston Villa,2023-11-05,4.2,3.75,1.85,1.73,2.08,0.21037287101474808,0.21135908818701696,0.578257769885843,0.6209965183148297,0.04064288349437521
Luton Town,1,1,Liverpool,2023-11-05,12.0,6.5,1.22,1.36,3.1,0.19874756976270624,0.3528054692595772,0.44844695351550473,0.1938581530251473,0.22101292869239542
Tottenham,1,4,Chelsea,2023-11-06,2.0,3.75,3.5,1.7,2.1,0.8322104156393525,0.10989796204434031,0.057568842624627886,0.7231810904853931,0.023500451455986122
Wolves,2,1,Tottenham,2023-11-11,3.1,3.75,2.2,1.62,2.25,0.18985976970657917,0.24210251913649,0.5680361478594179,0.46250940878723446,0.08019592472593855
Arsenal,3,1,Burnley,2023-11-11,1.18,7.0,17.0,1.48,2.6,0.9341471634337207,0.04423533157331239,0.017135711156652276,0.8619547041766502,0.007832673976723251
Manchester Utd,1,0,Luton Town,2023-11-11,1.33,5.25,9.5,1.53,2.4,0.6530965377884047,0.20118116032306035,0.14571154550719442,0.5562318767589924,0.05457363254351233
Crystal Palace,2,3,Everton,2023-11-11,2.45,3.2,3.0,2.25,1.62,0.5535416946817968,0.26318628714228665,0.18327150038918,0.38315988421978947,0.1085510617994244
Bournemouth,2,0,Newcastle Utd,2023-11-11,4.75,4.0,1.73,1.7,2.1,0.06088822134564111,0.131680072691421,0.8073417938547872,0.61893064366435,0.041026781871512326
West Ham,3,2,Nott'ham Forest,2023-11-12,1.85,3.6,4.0,1.75,2.05,0.4680060794622648,0.266385148209611,0.2656084062227584,0.44141347394385166,0.08705756193808645
Liverpool,3,0,Brentford,2023-11-12,1.4,5.0,6.5,1.44,2.7,0.7573663130991276,0.14215041341782467,0.10031737703640049,0.7240834149544473,0.023376820917703687
Aston Villa,3,1,Fulham,2023-11-12,1.57,4.2,5.5,1.7,2.1,0.5712240143508146,0.2373205243477892,0.1914534222649739,0.4827410660380847,0.0740336066596695
Brighton,1,1,Sheffield Utd,2023-11-12,1.25,5.75,13.0,1.4,2.88,0.8827607390347142,0.07387148671242719,0.04110234949213286,0.8525156882764339,0.00865716818438179
Chelsea,4,4,Manchester City,2023-11-12,5.0,3.7,1.73,1.88,2.02,0.10440052035886764,0.15178772126738732,0.7437137385728378,0.6860291627179075,0.029117228393782415
Manchester City,1,1,Liverpool,2023-11-25,1.73,4.2,4.2,1.48,2.6,0.4687127364015612,0.2121268447549154,0.31914856665396657,0.7175082598917716,0.02432724343386127
Burnley,1,2,West Ham,2023-11-25,3.4,3.5,2.05,1.75,2.05,0.28397889628855455,0.22887313949469756,0.4871442619334946,0.613253456541059,0.04217453317865815
Nott'ham Forest,2,3,Brighton,2023-11-25,3.2,3.6,2.15,1.73,2.08,0.23502109590821849,0.22181970694817546,0.5431533838111917,0.6024214633213103,0.044370925872074675
Sheffield Utd,1,3,Bournemouth,2023-11-25,3.2,3.5,2.2,1.85,2.05,0.4541419300678613,0.24712760807329498,0.2987294144335269,0.5380731320734892,0.059002549638366486
Newcastle Utd,4,1,Chelsea,2023-11-25,2.55,3.5,2.63,1.86,2.04,0.7411530961365097,0.14140680780613107,0.11716264321503067,0.7819864446506115,0.01590179183566871
Luton Town,2,1,Crystal Palace,2023-11-25,3.6,3.3,2.1,2.15,1.67,0.37019948102792005,0.3100306196268538,0.3197698791266185,0.3182508713424627,0.13810436481913518
Brentford,0,1,Arsenal,2023-11-25,4.5,3.75,1.75,1.9,2.0,0.2207893470351573,0.19722700425162124,0.5819559159450994,0.7044648074273432,0.026256372118846738
Tottenham,1,2,Aston Villa,2023-11-26,2.3,3.8,2.8,1.5,2.5,0.4762679839452808,0.21895297403045372,0.30477180229933926,0.6753034677315484,0.030872479937155386
Everton,0,3,Manchester Utd,2023-11-26,2.7,3.4,2.55,1.85,2.05,0.3218499840306798,0.3022156266060196,0.3759343582793282,0.3411423259137769,0.1269043185024464
Fulham,3,2,Wolves,2023-11-27,2.38,3.3,3.0,2.08,1.73,0.37950390862688976,0.29240084067490035,0.3280951975443364,0.3727316012491,0.11287546824820319
Brentford,3,1,Luton Town,2023-12-02,1.45,4.5,6.5,1.7,2.1,0.6198015735458229,0.20979447010098634,0.17039546933525848,0.56540124969369,0.05243694285202722
Arsenal,2,1,Wolves,2023-12-02,1.25,5.5,12.0,1.65,2.2,0.7635593936899725,0.1442676976154496,0.09205918634164455,0.6830842719162129,0.029589264707991055
Burnley,5,0,Sheffield Utd,2023-12-02,1.8,3.6,4.5,2.06,1.84,0.4228449966552286,0.2705904457115064,0.30656433224747814,0.44489544513286755,0.08589772347886018
Nott'ham Forest,0,1,Everton,2023-12-02,2.75,3.25,2.6,2.05,1.75,0.4533586869330022,0.26893182692616147,0.2777091905571035,0.4387719108866926,0.08794898816100649
Newcastle Utd,1,0,Manchester Utd,2023-12-02,1.91,3.75,3.8,1.67,2.15,0.6945640934295708,0.1792741584982927,0.12613313984619628,0.611241017476358,0.04256613564916039
Bournemouth,2,2,Aston Villa,2023-12-03,3.4,4.0,1.95,1.53,2.4,0.18727089454354132,0.20097213073365852,0.6117401961113862,0.6354387901023376,0.03788392837263418
Liverpool,4,3,Fulham,2023-12-03,1.25,6.5,9.0,1.4,2.88,0.7669863596156676,0.1665443129948745,0.06645314753809844,0.4854919641925769,0.07318838290502093
Chelsea,3,2,Brighton,2023-12-03,1.73,4.2,4.2,1.53,2.4,0.344549358477671,0.20669019491071422,0.448742731404477,0.7555663109891796,0.019137499301629314
West Ham,1,1,Crystal Palace,2023-12-03,2.0,3.5,3.8,2.04,1.86,0.5241728388863317,0.2449920575630081,0.2308336984887546,0.496922975004715,0.06994075668555859
Manchester City,3,3,Tottenham,2023-12-03,1.29,6.0,9.0,1.36,3.1,0.7269350229267598,0.16192582457166235,0.11107853482021057,0.6545684347869469,0.034404958885829055
Wolves,1,0,Burnley,2023-12-05,1.85,3.6,4.2,2.05,1.85,0.6764089226057375,0.18941501051814835,0.13415805169045453,0.5835175285361511,0.04837162292436002
Luton Town,3,4,Arsenal,2023-12-05,17.0,7.0,1.18,1.65,2.2,0.1482402495954936,0.20053389696692514,0.6512143519155765,0.5643418809170919,0.05267824661510943
Sheffield Utd,0,2,Liverpool,2023-12-06,12.0,7.5,1.2,1.33,3.4,0.08220915995525122,0.12834843335796436,0.7892017889122622,0.7324871441862751,0.022199008313642646
Crystal Palace,0,2,Bournemouth,2023-12-06,2.25,3.5,3.1,2.01,1.89,0.41699674069968945,0.3107727101093092,0.2722305204027408,0.3059059472087354,0.14454671219336962
Brighton,2,1,Brentford,2023-12-06,1.91,3.8,3.75,1.62,2.25,0.6183422238645977,0.18335719020392205,0.19824084249263726,0.7411667426932342,0.021023173855259803
Fulham,5,0,Nott'ham Forest,2023-12-06,2.0,3.4,3.75,2.06,1.84,0.5794293894761073,0.22294372012820288,0.1976221504793692,0.5503323839060301,0.055988556339502164
Aston Villa,1,0,Manchester City,2023-12-06,4.75,4.2,1.7,1.53,2.4,0.37025926564921663,0.21627191470576998,0.41346071382334354,0.7125192766399323,0.025056668245260556
Manchester Utd,2,1,Chelsea,2023-12-06,2.88,3.4,2.45,1.65,2.2,0.5961970249843546,0.2269544315671757,0.17684517280041098,0.5032398297031698,0.06816485676705622
Everton,3,0,Newcastle Utd,2023-12-07,3.25,3.25,2.25,1.96,1.94,0.20942398848799554,0.2429534666750061,0.547620986345475,0.48256964611660885,0.07408676981199534
Tottenham,1,2,West Ham,2023-12-07,1.75,4.2,4.2,1.5,2.5,0.5526691078309676,0.21793996362209261,0.2293835920673731,0.6141881220445962,0.04198593660640814
Crystal Palace,1,2,Liverpool,2023-12-09,6.0,4.5,1.5,1.65,2.2,0.18803441312640296,0.2443117059138385,0.5676524996835101,0.4520843938019534,0.08352496304421266
Manchester Utd,0,3,Bournemouth,2023-12-09,1.55,4.33,5.75,1.5,2.5,0.592798203581426,0.2595041308988161,0.14769709478531698,0.35257820764150294,0.121613346710383
Wolves,1,1,Nott'ham Forest,2023-12-09,1.85,3.6,4.33,2.06,1.84,0.5109081666705035,0.2447975663783934,0.24429285864269337,0.5101988902018795,0.06626251921875799
Brighton,1,1,Burnley,2023-12-09,1.5,4.75,6.0,1.57,2.35,0.8447458038721569,0.09772768987061657,0.05675331833396841,0.7932621411996816,0.01460822716495945
Sheffield Utd,1,0,Brentford,2023-12-09,4.2,3.8,1.75,1.95,1.95,0.21449691536364796,0.20216643269469511,0.58331756289085,0.671308261361056,0.031535354465425984
