Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.008,proba_draw_0.008,proba_lose_0.008,proba_O_0.008,proba_U_0.008
Nott'ham Forest,1,1,Brentford,2023-10-01,2.75,3.1,2.7,2.1,1.73,0.36186554591970893,0.2582001817151496,0.3799338736698968,0.5060936541559216,0.49390616452070135
Fulham,0,2,Chelsea,2023-10-02,3.6,3.5,2.05,1.98,1.92,0.4041515348918665,0.30457960683221447,0.2912688245617126,0.32755928252442157,0.6724407131866049
Luton Town,1,2,Burnley,2023-10-03,2.9,3.0,2.63,2.2,1.65,0.31152373085475116,0.2594659767103449,0.4290098543001656,0.490081726009969,0.5099181402715612
Luton Town,0,1,Tottenham,2023-10-07,6.0,4.75,1.45,1.53,2.4,0.2912792146562733,0.32450675401058504,0.384214020080991,0.275824477314356,0.7241755215397434
Everton,3,0,Bournemouth,2023-10-07,1.91,3.6,3.8,1.85,2.05,0.7449753541465723,0.1722905353575262,0.08271642686374615,0.5160725696684055,0.48392721153093415
Manchester Utd,2,1,Brentford,2023-10-07,1.67,4.2,4.75,1.65,2.2,0.32177269940630004,0.31436586316362997,0.363861421891234,0.30585611456097955,0.6941438829260835
Burnley,1,4,Chelsea,2023-10-07,4.5,3.8,1.73,1.85,2.05,0.5875615683031039,0.2231502324951231,0.18928374659127922,0.5368995510305604,0.4631001263900174
Fulham,3,1,Sheffield Utd,2023-10-07,1.62,3.8,6.0,1.96,1.94,0.23881404242347212,0.3129607901686445,0.44822513312859363,0.2870122328701327,0.7129877655837985
Crystal Palace,0,0,Nott'ham Forest,2023-10-07,2.2,3.1,3.6,2.25,1.62,0.18254046939208984,0.22736899417310463,0.5900871580039275,0.5094206334889102,0.49057917343670426
West Ham,2,2,Newcastle Utd,2023-10-08,3.2,3.75,2.1,1.7,2.1,0.34201662341590894,0.3619025856762303,0.2960807893828665,0.20000321155894213,0.7999967883276111
Wolves,1,1,Aston Villa,2023-10-08,3.5,3.4,2.1,1.75,2.05,0.3682447767171383,0.37827815857320896,0.2534770635859559,0.16942139436610631,0.8305786055975222
Brighton,2,2,Liverpool,2023-10-08,3.0,3.8,2.2,1.36,3.1,0.3541176612873894,0.25584368035832805,0.3900381864842989,0.5158194907532079,0.4841802914744167
Arsenal,1,0,Manchester City,2023-10-08,2.9,3.3,2.4,1.75,2.05,0.2721048545004848,0.328435433318713,0.399459701062859,0.26261033410752105,0.737389665097282
Liverpool,2,0,Everton,2023-10-21,1.33,5.75,7.5,1.4,2.88,0.7727904724309779,0.14319109791514723,0.0839230560740745,0.6576421420364874,0.342354969152202
Bournemouth,1,2,Wolves,2023-10-21,2.38,3.4,3.0,1.85,2.05,0.4469415738763376,0.2709156436815008,0.2821425290626898,0.43296383548106515,0.5670361210779544
Newcastle Utd,4,0,Crystal Palace,2023-10-21,1.45,4.5,7.0,1.85,2.05,0.7811792899834733,0.14134950893887538,0.07738382925702475,0.6411665688848865,0.3588312855071992
Brentford,3,0,Burnley,2023-10-21,1.83,3.75,4.2,1.95,1.95,0.6056352277926811,0.23549744543587853,0.15886541409323407,0.44306909194091093,0.5569308547912695
Manchester City,2,1,Brighton,2023-10-21,1.4,5.25,6.5,1.36,3.1,0.6255709607059127,0.2163073934024544,0.15811640149433306,0.5152324816709475,0.484767302945589
Nott'ham Forest,2,2,Luton Town,2023-10-21,1.67,3.75,5.5,2.08,1.82,0.5376243015548325,0.27497235876284765,0.18740305235967075,0.35177016424274304,0.6482298281821833
Chelsea,2,2,Arsenal,2023-10-21,3.2,3.4,2.25,1.98,1.92,0.31583912523164615,0.2910422754531261,0.39311853831500926,0.37443392259560476,0.6255660647915375
Sheffield Utd,1,2,Manchester Utd,2023-10-21,6.5,5.25,1.4,1.53,2.4,0.39765839575349565,0.22323496437588436,0.37910198410624907,0.6766569266737259,0.32333899617205863
Aston Villa,4,1,West Ham,2023-10-22,1.85,3.6,4.0,1.57,2.35,0.6907949901303596,0.19618290998364166,0.11301311029825938,0.50298716251773,0.49701266651512754
Tottenham,2,0,Fulham,2023-10-23,1.5,4.5,6.0,1.5,2.5,0.5763963479230235,0.2243743581991098,0.19922493467628244,0.5457188962794729,0.4542807240610556
Crystal Palace,1,2,Tottenham,2023-10-27,4.5,3.75,1.75,1.94,1.96,0.32473759192428936,0.23450973189509902,0.44075043470588227,0.607650524505984,0.39234830306634977
Chelsea,0,2,Brentford,2023-10-28,1.65,4.0,5.25,1.8,2.0,0.4531985186899609,0.23715561903795898,0.30964391058414437,0.5884018272599315,0.4115973450040701
Bournemouth,2,1,Burnley,2023-10-28,2.15,3.5,3.3,1.75,2.05,0.550903416180332,0.226901901428843,0.22219061515557154,0.5638658134015968,0.4361336569213978
Arsenal,5,0,Sheffield Utd,2023-10-28,1.13,8.5,19.0,1.36,3.1,0.9353277778004068,0.03312218551556516,0.015607303807812558,0.9346803121694629,0.06401664786205999
