Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
Manchester Utd,0,3,Manchester City,2023-10-29,5.0,3.8,1.67,1.7,2.1,,,,,
Fulham,0,1,Manchester Utd,2023-11-04,3.2,3.6,2.2,1.75,2.05,,,,,
Brentford,3,2,West Ham,2023-11-04,2.05,3.6,3.5,1.73,2.08,,,,,
Everton,1,1,Brighton,2023-11-04,3.1,3.6,2.2,1.57,2.35,,,,,
Burnley,0,2,Crystal Palace,2023-11-04,2.75,3.25,2.6,2.2,1.65,,,,,
Manchester City,6,1,Bournemouth,2023-11-04,1.1,11.0,19.0,1.29,3.6,,,,,
Sheffield Utd,2,1,Wolves,2023-11-04,3.8,3.5,2.0,1.91,1.99,,,,,
Newcastle Utd,1,0,Arsenal,2023-11-04,2.8,3.2,2.6,1.95,1.95,,,,,
Nott'ham Forest,2,0,Aston Villa,2023-11-05,4.2,3.75,1.85,1.73,2.08,,,,,
Luton Town,1,1,Liverpool,2023-11-05,12.0,6.5,1.22,1.36,3.1,,,,,
Tottenham,1,4,Chelsea,2023-11-06,2.0,3.75,3.5,1.7,2.1,,,,,
Wolves,2,1,Tottenham,2023-11-11,3.1,3.75,2.2,1.62,2.25,,,,,
Arsenal,3,1,Burnley,2023-11-11,1.18,7.0,17.0,1.48,2.6,,,,,
Manchester Utd,1,0,Luton Town,2023-11-11,1.33,5.25,9.5,1.53,2.4,,,,,
Crystal Palace,2,3,Everton,2023-11-11,2.45,3.2,3.0,2.25,1.62,,,,,
Bournemouth,2,0,Newcastle Utd,2023-11-11,4.75,4.0,1.73,1.7,2.1,,,,,
West Ham,3,2,Nott'ham Forest,2023-11-12,1.85,3.6,4.0,1.75,2.05,,,,,
Liverpool,3,0,Brentford,2023-11-12,1.4,5.0,6.5,1.44,2.7,,,,,
Aston Villa,3,1,Fulham,2023-11-12,1.57,4.2,5.5,1.7,2.1,,,,,
Brighton,1,1,Sheffield Utd,2023-11-12,1.25,5.75,13.0,1.4,2.88,,,,,
Chelsea,4,4,Manchester City,2023-11-12,5.0,3.7,1.73,1.88,2.02,,,,,
Manchester City,1,1,Liverpool,2023-11-25,1.73,4.2,4.2,1.48,2.6,,,,,
Burnley,1,2,West Ham,2023-11-25,3.4,3.5,2.05,1.75,2.05,,,,,
Nott'ham Forest,2,3,Brighton,2023-11-25,3.2,3.6,2.15,1.73,2.08,,,,,
Sheffield Utd,1,3,Bournemouth,2023-11-25,3.2,3.5,2.2,1.85,2.05,,,,,
Newcastle Utd,4,1,Chelsea,2023-11-25,2.55,3.5,2.63,1.86,2.04,,,,,
Luton Town,2,1,Crystal Palace,2023-11-25,3.6,3.3,2.1,2.15,1.67,,,,,
Brentford,0,1,Arsenal,2023-11-25,4.5,3.75,1.75,1.9,2.0,,,,,
Tottenham,1,2,Aston Villa,2023-11-26,2.3,3.8,2.8,1.5,2.5,,,,,
Everton,0,3,Manchester Utd,2023-11-26,2.7,3.4,2.55,1.85,2.05,,,,,
Fulham,3,2,Wolves,2023-11-27,2.38,3.3,3.0,2.08,1.73,,,,,
Brentford,3,1,Luton Town,2023-12-02,1.45,4.5,6.5,1.7,2.1,,,,,
Arsenal,2,1,Wolves,2023-12-02,1.25,5.5,12.0,1.65,2.2,,,,,
Burnley,5,0,Sheffield Utd,2023-12-02,1.8,3.6,4.5,2.06,1.84,,,,,
Nott'ham Forest,0,1,Everton,2023-12-02,2.75,3.25,2.6,2.05,1.75,,,,,
Newcastle Utd,1,0,Manchester Utd,2023-12-02,1.91,3.75,3.8,1.67,2.15,,,,,
Bournemouth,2,2,Aston Villa,2023-12-03,3.4,4.0,1.95,1.53,2.4,,,,,
Liverpool,4,3,Fulham,2023-12-03,1.25,6.5,9.0,1.4,2.88,,,,,
Chelsea,3,2,Brighton,2023-12-03,1.73,4.2,4.2,1.53,2.4,,,,,
West Ham,1,1,Crystal Palace,2023-12-03,2.0,3.5,3.8,2.04,1.86,,,,,
Manchester City,3,3,Tottenham,2023-12-03,1.29,6.0,9.0,1.36,3.1,,,,,
Wolves,1,0,Burnley,2023-12-05,1.85,3.6,4.2,2.05,1.85,,,,,
Luton Town,3,4,Arsenal,2023-12-05,17.0,7.0,1.18,1.65,2.2,,,,,
Sheffield Utd,0,2,Liverpool,2023-12-06,12.0,7.5,1.2,1.33,3.4,,,,,
Crystal Palace,0,2,Bournemouth,2023-12-06,2.25,3.5,3.1,2.01,1.89,,,,,
Brighton,2,1,Brentford,2023-12-06,1.91,3.8,3.75,1.62,2.25,,,,,
Fulham,5,0,Nott'ham Forest,2023-12-06,2.0,3.4,3.75,2.06,1.84,,,,,
Aston Villa,1,0,Manchester City,2023-12-06,4.75,4.2,1.7,1.53,2.4,,,,,
Manchester Utd,2,1,Chelsea,2023-12-06,2.88,3.4,2.45,1.65,2.2,,,,,
Everton,3,0,Newcastle Utd,2023-12-07,3.25,3.25,2.25,1.96,1.94,,,,,
Tottenham,1,2,West Ham,2023-12-07,1.75,4.2,4.2,1.5,2.5,,,,,
Crystal Palace,1,2,Liverpool,2023-12-09,6.0,4.5,1.5,1.65,2.2,,,,,
Manchester Utd,0,3,Bournemouth,2023-12-09,1.55,4.33,5.75,1.5,2.5,,,,,
Wolves,1,1,Nott'ham Forest,2023-12-09,1.85,3.6,4.33,2.06,1.84,,,,,
Brighton,1,1,Burnley,2023-12-09,1.5,4.75,6.0,1.57,2.35,,,,,
Sheffield Utd,1,0,Brentford,2023-12-09,4.2,3.8,1.75,1.95,1.95,,,,,
Aston Villa,1,0,Arsenal,2023-12-09,3.3,3.6,2.1,1.7,2.1,,,,,
Everton,2,0,Chelsea,2023-12-10,3.1,3.5,2.25,1.75,2.05,,,,,
Fulham,5,0,West Ham,2023-12-10,2.38,3.5,2.9,1.9,2.0,,,,,
Luton Town,1,2,Manchester City,2023-12-10,17.0,8.0,1.14,1.36,3.1,,,,,
Tottenham,4,1,Newcastle Utd,2023-12-10,2.15,3.8,3.1,1.53,2.4,,,,,
Nott'ham Forest,0,2,Tottenham,2023-12-15,4.2,4.2,1.73,1.62,2.25,,,,,
Manchester City,2,2,Crystal Palace,2023-12-16,1.18,8.0,13.0,1.44,2.7,,,,,
Chelsea,2,0,Sheffield Utd,2023-12-16,1.22,6.5,13.0,1.5,2.5,,,,,
Newcastle Utd,3,0,Fulham,2023-12-16,1.8,3.8,4.0,1.7,2.1,,,,,
