Modèle 2 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Burnley;0;2;Bournemouth;03/03/2024;3.75;3.6;1.95;1.7;2.1;0.37611109279628924;0.24939471883824058;0.374493839935182;0.5002134027991314;0.49978646969991447
Manchester City;3;1;Manchester Utd;03/03/2024;1.25;5.75;11.0;1.36;3.1;0.6914866927732025;0.17959271453758296;0.12889896766834708;0.5872441536346694;0.4127552263236946
Sheffield Utd;0;6;Arsenal;04/03/2024;17.0;7.0;1.18;1.4;2.88;0.04885098366313582;0.09295966766488722;0.8575306475874601;0.769197590727089;0.2307849488137841
Manchester Utd;2;0;Everton;09/03/2024;1.83;3.6;4.0;1.67;2.15;0.5508169531635158;0.24662275898050223;0.20255950092431152;0.42014502501418033;0.5798549470241994
Bournemouth;2;2;Sheffield Utd;09/03/2024;1.33;5.25;8.0;1.53;2.4;0.6687555774491312;0.18433447495775016;0.1468888387089966;0.6070315662907024;0.3929675528302292
Wolves;2;1;Fulham;09/03/2024;2.5;3.4;2.75;1.95;1.95;0.3902456418470695;0.2614667058292829;0.3482874872405004;0.445237420587207;0.5547625337459704
Crystal Palace;1;1;Luton Town;09/03/2024;1.75;3.8;4.2;1.75;2.05;0.47315602628430303;0.2253982750708325;0.3014431926459706;0.6002495745715208;0.39974965866720685
Arsenal;2;1;Brentford;09/03/2024;1.22;7.0;11.0;1.44;2.7;0.7333238875871831;0.15218786066485485;0.11439348208747147;0.6937398295314001;0.30625604879851365
Aston Villa;0;4;Tottenham;10/03/2024;2.38;4.0;2.6;1.36;3.1;0.49759771130218033;0.2089078512200918;0.29348587818255945;0.6821004295192982;0.31789633774404374
West Ham;2;2;Burnley;10/03/2024;1.67;4.0;4.75;1.7;2.1;0.6342622257914067;0.2011505500813179;0.16457804625677008;0.5599949194163407;0.44000469839938294
Brighton;1;0;Nott'ham Forest;10/03/2024;1.8;4.0;4.0;1.62;2.25;0.6284424107393412;0.19135646805691198;0.1801815760912075;0.6380840971757421;0.36191439439713596
Liverpool;1;1;Manchester City;10/03/2024;3.0;3.75;2.2;1.5;2.5;0.42082295650386287;0.24068171515812742;0.3384946103061941;0.5389498414635238;0.4610498995120359
Chelsea;3;2;Newcastle Utd;11/03/2024;1.91;4.0;3.6;1.44;2.7;0.3765768392593159;0.22679908526826914;0.39662241907211937;0.6117100853832447;0.3882890149488879
Bournemouth;4;3;Luton Town;13/03/2024;1.5;4.75;5.75;1.44;2.7;0.4473938127965586;0.21552682306871368;0.3370750352877562;0.6646039191895695;0.33539381194189805
Luton Town;1;1;Nott'ham Forest;16/03/2024;2.8;3.5;2.45;1.67;2.15;0.4763369041342856;0.2173553842310743;0.30630358792973666;0.6401065809700371;0.3598919393652801
Burnley;2;1;Brentford;16/03/2024;3.25;3.6;2.15;1.75;2.05;0.26275670387001293;0.2332508442309522;0.5039909197776719;0.5289177935070645;0.47108199657434346
Fulham;3;0;Tottenham;16/03/2024;3.5;3.8;1.95;1.48;2.6;0.35229767034493936;0.22276413731778846;0.4249358258791234;0.6298491801423388;0.3701495849986458
West Ham;1;1;Aston Villa;17/03/2024;2.63;3.75;2.45;1.57;2.35;0.3448596285809477;0.22599433295238708;0.4291441450208557;0.6105226981098464;0.3894764202404318
Newcastle Utd;4;3;West Ham;30/03/2024;1.83;4.2;3.8;1.5;2.5;0.6194780073420462;0.18615328375603146;0.19433854197588207;0.6870864068727001;0.3129101389749462
Bournemouth;2;1;Everton;30/03/2024;2.2;3.6;3.2;1.7;2.1;0.42892995087714236;0.2592879047471686;0.31178192696463836;0.44116415196702274;0.558835806700878
Tottenham;2;1;Luton Town;30/03/2024;1.2;8.0;11.0;1.25;4.0;0.7094578892524397;0.14500293491336438;0.14524096299245856;0.8146457600100179;0.18531533487537855
Nott'ham Forest;1;1;Crystal Palace;30/03/2024;2.2;3.3;3.4;2.08;1.73;0.41837570833253457;0.26351534067063176;0.31810879313692364;0.42568857985312614;0.5743113895956949
Sheffield Utd;3;3;Fulham;30/03/2024;4.5;4.0;1.73;1.65;2.2;0.1588467001485382;0.1889300182329668;0.6522055845521696;0.6060591276499397;0.3939400340104855
