Modèle 0 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Bournemouth;2;2;Sheffield Utd;09/03/2024;1.33;5.25;8.0;1.53;2.4;0.6490655905366945;0.19103859527232464;0.1598790720814085;0.6033979125847679;0.3966012442060568
Wolves;2;1;Fulham;09/03/2024;2.5;3.4;2.75;1.95;1.95;0.374152308643049;0.27530929520012615;0.3505383248368017;0.393437660543184;0.606562322991881
Crystal Palace;1;1;Luton Town;09/03/2024;1.75;3.8;4.2;1.75;2.05;0.5174485966646173;0.22180732919266774;0.2607403849855751;0.5918011452305099;0.40819817589151774
Arsenal;2;1;Brentford;09/03/2024;1.22;7.0;11.0;1.44;2.7;0.6676616688752443;0.17918363135701637;0.15312202439698297;0.6502841288286849;0.34971394230637287
Aston Villa;0;4;Tottenham;10/03/2024;2.38;4.0;2.6;1.36;3.1;0.44185984756377694;0.22394106321808188;0.3341964666529958;0.6268006789065036;0.37319806946686
West Ham;2;2;Burnley;10/03/2024;1.67;4.0;4.75;1.7;2.1;0.5975260884007605;0.2225213711630465;0.1799495334203599;0.49160451775692804;0.5083953697316432
Brighton;1;0;Nott'ham Forest;10/03/2024;1.8;4.0;4.0;1.62;2.25;0.6509700756720077;0.18905567087116568;0.15995528697912012;0.6136109032045038;0.38638808738572233
Liverpool;1;1;Manchester City;10/03/2024;3.0;3.75;2.2;1.5;2.5;0.4019140973630005;0.23960909979291678;0.35847603681017054;0.5520712627720079;0.4479284024628707
Chelsea;3;2;Newcastle Utd;11/03/2024;1.91;4.0;3.6;1.44;2.7;0.4415255231385318;0.24196457118159645;0.3165091625409909;0.5267999569884184;0.4731998329779337
Bournemouth;4;3;Luton Town;13/03/2024;1.5;4.75;5.75;1.44;2.7;0.4317391902702247;0.21887881231484366;0.3493784265828362;0.6566512461247864;0.3433466747527164
Luton Town;1;1;Nott'ham Forest;16/03/2024;2.8;3.5;2.45;1.67;2.15;0.5010308593940974;0.21616760697101872;0.28279634824831446;0.6369728073136055;0.3630257170947848
Burnley;2;1;Brentford;16/03/2024;3.25;3.6;2.15;1.75;2.05;0.2859768475308902;0.25447074739653736;0.4595520225902191;0.456426709585996;0.5435732333786737
Fulham;3;0;Tottenham;16/03/2024;3.5;3.8;1.95;1.48;2.6;0.3532918495570325;0.23082200871185243;0.4158847152931954;0.5938978893827951;0.40610141930359955
West Ham;1;1;Aston Villa;17/03/2024;2.63;3.75;2.45;1.57;2.35;0.39178400222549903;0.23714261775568124;0.37107251660565094;0.5636008436412523;0.43639875126638944
Newcastle Utd;4;3;West Ham;30/03/2024;1.83;4.2;3.8;1.5;2.5;0.5714294678894972;0.20876938267325224;0.21979291724333525;0.6116639674180315;0.38833507326410854
Bournemouth;2;1;Everton;30/03/2024;2.2;3.6;3.2;1.7;2.1;0.4212536906749345;0.2605224490688733;0.3182236466352489;0.4455588919404164;0.5544410615517625
Tottenham;2;1;Luton Town;30/03/2024;1.2;8.0;11.0;1.25;4.0;0.7216946610172088;0.14494047509108754;0.13312120125516605;0.788885631552161;0.21108976835018517
Nott'ham Forest;1;1;Crystal Palace;30/03/2024;2.2;3.3;3.4;2.08;1.73;0.3731566308411066;0.27052325670702415;0.35632001886298953;0.4112345853070324;0.5887653910964137
Sheffield Utd;3;3;Fulham;30/03/2024;4.5;4.0;1.73;1.65;2.2;0.16514318958946697;0.19133566799012108;0.643503900174019;0.6116436800495542;0.38835535286231193
Chelsea;2;2;Burnley;30/03/2024;1.29;6.0;9.5;1.48;2.6;0.6542374171598108;0.20664496089949047;0.13911227294496833;0.4877818377608522;0.5122180574772566
Aston Villa;2;0;Wolves;30/03/2024;1.6;4.33;5.0;1.57;2.35;0.5560398673769462;0.23783868355585108;0.20612011783990658;0.46084557559231293;0.5391543618322852
Brentford;1;1;Manchester Utd;30/03/2024;3.0;3.8;2.2;1.53;2.4;0.4128813460967054;0.2468188008967143;0.3402993724643434;0.5124629903363234;0.4875368466980946
Liverpool;2;1;Brighton;31/03/2024;1.36;5.5;7.5;1.36;3.1;0.6861315141107042;0.17364276597161643;0.14018735574835178;0.6487580624798888;0.35124006740934594
Manchester City;0;0;Arsenal;31/03/2024;1.91;3.8;3.8;1.7;2.1;0.5995396259010018;0.1990228941223482;0.20142321162219906;0.6355741182810031;0.3644244179400679
Newcastle Utd;1;1;Everton;02/04/2024;2.0;3.75;3.5;1.67;2.2;0.6481916031860822;0.19881918724237174;0.15297910747447238;0.5552570376521493;0.4447425919816341
Nott'ham Forest;3;1;Fulham;02/04/2024;2.7;3.4;2.63;1.8;2.0;0.32697487204594433;0.24952832824817028;0.4234963339489997;0.5027263174924905;0.49727354140879887
Bournemouth;1;0;Crystal Palace;02/04/2024;1.95;3.8;3.6;1.73;2.1;0.3751012562800737;0.26065985840897893;0.3642386920111158;0.459181693002911;0.5408182447511292
Burnley;1;1;Wolves;02/04/2024;2.45;3.6;2.75;1.84;2.06;0.35404913874243704;0.2906261820666615;0.35532464853413775;0.34428076301085353;0.65571923120744
West Ham;1;1;Tottenham;02/04/2024;3.3;4.2;1.95;1.33;3.4;0.35439027558482666;0.23062843746167505;0.41497967357745075;0.6023164851591956;0.3976826721731226
Arsenal;2;0;Luton Town;03/04/2024;1.1;10.0;19.0;1.25;4.0;0.8180444025333046;0.10654874928360383;0.07460737113089647;0.8183511747866266;0.18160056724036538
Brentford;0;0;Brighton;03/04/2024;2.38;3.8;2.75;1.57;2.38;0.4116992536329228;0.23924006374749088;0.34905980866294634;0.5574370016520848;0.4425626180893746
Manchester City;4;1;Aston Villa;03/04/2024;1.3;6.0;8.0;1.4;3.0;0.73247905751901;0.15834157542735416;0.10912023001069548;0.6479428193039019;0.3520552415904657
Liverpool;3;1;Sheffield Utd;04/04/2024;1.09;12.0;21.0;1.2;4.5;0.9378541502260889;0.04122083213247499;0.01570173896460059;0.8704504826355335;0.1293813400001708
Chelsea;4;3;Manchester Utd;04/04/2024;2.0;4.0;3.4;1.4;3.0;0.4677592474231712;0.2506953093972213;0.28154489201817234;0.47748322186071357;0.5225166899333382
Crystal Palace;2;4;Manchester City;06/04/2024;9.5;5.25;1.33;1.67;2.2;0.14015689558743974;0.20312086171358684;0.6567153596255709;0.509689749108528;0.49031008866297177
Luton Town;2;1;Bournemouth;06/04/2024;3.75;3.8;1.91;1.5;2.63;0.5131834471986221;0.20750494629130872;0.2793009101109452;0.6861799739555126;0.3138163039418458
Wolves;1;2;West Ham;06/04/2024;2.5;3.6;2.7;1.8;2.0;0.3835211229147356;0.2728431973293376;0.3436355873742908;0.40764341894292666;0.592356558565327
Fulham;0;1;Newcastle Utd;06/04/2024;2.38;3.8;2.8;1.5;2.63;0.38153739550821064;0.23130023453534684;0.38716089674949455;0.6017874651540297;0.3982117001490987
Everton;1;0;Burnley;06/04/2024;1.65;4.0;5.25;1.8;2.0;0.46189033416642405;0.2732444633967579;0.2648650492241441;0.38100436172621327;0.6189956253548975
Aston Villa;3;3;Brentford;06/04/2024;1.7;4.0;4.75;1.53;2.5;0.5130494015626972;0.2285861853995236;0.2583619142856466;0.5611892371274574;0.4388103551915489
Brighton;0;3;Arsenal;06/04/2024;5.0;4.33;1.62;1.62;2.3;0.3105816285703175;0.22266674471374923;0.466748285069381;0.627676677715618;0.3723220034830119
Manchester Utd;2;2;Liverpool;07/04/2024;4.75;4.5;1.6;1.33;3.4;0.253867817244642;0.23201408359927728;0.5141160886830333;0.5410012968399287;0.45899841922218454
Sheffield Utd;2;2;Chelsea;07/04/2024;7.0;5.25;1.4;1.4;3.0;0.13707703028838006;0.1785222426003568;0.6843726933873829;0.6195875838528322;0.3804112512017067
Tottenham;3;1;Nott'ham Forest;07/04/2024;1.4;5.5;6.5;1.4;3.0;0.6922149607054243;0.17413385739346202;0.13361628087896849;0.6336264917399872;0.36637201406286424
Newcastle Utd;4;0;Tottenham;13/04/2024;2.7;4.0;2.3;1.36;3.2;0.4613812098016003;0.22073269380948302;0.317881750569785;0.6506921281769332;0.3493057411380008
Manchester City;5;1;Luton Town;13/04/2024;1.1;11.0;19.0;1.29;3.75;0.881986618350256;0.07687414977155714;0.039659585253904686;0.8197825452757134;0.18016272577013037
Nott'ham Forest;2;2;Wolves;13/04/2024;2.1;3.4;3.5;1.86;2.04;0.3859949225516133;0.28286438848874407;0.3311406274030321;0.3795896810350255;0.6204103059759796
Brentford;2;0;Sheffield Utd;13/04/2024;1.44;5.0;6.5;1.53;2.5;0.766897635525953;0.13956345389241814;0.09339646601545935;0.7026681546193256;0.2973262936591506
Burnley;1;1;Brighton;13/04/2024;3.5;3.75;2.0;1.67;2.2;0.2596763198623329;0.24461413576500649;0.49570853558164235;0.4990242527395779;0.5009756079917059
Bournemouth;2;2;Manchester Utd;13/04/2024;2.4;3.9;2.6;1.44;2.75;0.28099655101566723;0.2368391368816563;0.48216275241200357;0.5493340583778108;0.4506655914453807
Liverpool;0;1;Crystal Palace;14/04/2024;1.22;7.0;12.0;1.4;3.0;0.7490192509093418;0.1601689814682748;0.09077519412953576;0.5838519543267806;0.4161473819265478
West Ham;0;2;Fulham;14/04/2024;2.38;3.6;2.8;1.67;2.2;0.4553084728005977;0.24115504930369638;0.3035354078860714;0.542351157131651;0.4576485344128647
Arsenal;0;2;Aston Villa;14/04/2024;1.29;5.75;10.0;1.5;2.63;0.6477656604173159;0.1846363382554429;0.16756693071376813;0.6624359426308677;0.33756140573253446
Chelsea;6;0;Everton;15/04/2024;1.7;4.2;4.5;1.53;2.5;0.599775779379682;0.23224363685816304;0.1679787423229455;0.44461707299057845;0.5553828784906445
Luton Town;1;5;Brentford;20/04/2024;3.1;3.75;2.15;1.57;2.38;0.35189424148438647;0.22533041764777295;0.4227726812741929;0.6355636059796;0.3644348091009328
Sheffield Utd;1;4;Burnley;20/04/2024;2.75;3.6;2.45;1.67;2.2;0.3204663028287556;0.24634334825962229;0.4331896913698573;0.5217412762101384;0.47825851645158923
