Modèle 1 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Wolves;2;1;Fulham;09/03/2024;2.5;3.4;2.75;1.95;1.95;0.31478175266061303;0.27993737399458946;0.40528075399684754;0.4120839554518777;0.5879160162842575
Crystal Palace;1;1;Luton Town;09/03/2024;1.75;3.8;4.2;1.75;2.05;0.4593594870776579;0.2316842881104114;0.3089533659957327;0.6141469566529557;0.3858517256131385
Arsenal;2;1;Brentford;09/03/2024;1.22;7.0;11.0;1.44;2.7;0.7094131562114002;0.1636600961669071;0.1268509232824411;0.6908879406511323;0.3091067780685058
Aston Villa;0;4;Tottenham;10/03/2024;2.38;4.0;2.6;1.36;3.1;0.4612699996882437;0.2220833022316051;0.31664110492540304;0.665337746369221;0.3346589345669877
West Ham;2;2;Burnley;10/03/2024;1.67;4.0;4.75;1.7;2.1;0.5500605325550262;0.24098511509855935;0.20895262677948728;0.48905594258766194;0.5109439263354454
Brighton;1;0;Nott'ham Forest;10/03/2024;1.8;4.0;4.0;1.62;2.25;0.574435245143847;0.21566568957562113;0.20989130797213898;0.5994409464512608;0.4005580431296601
Liverpool;1;1;Manchester City;10/03/2024;3.0;3.75;2.2;1.5;2.5;0.31962577987528656;0.2368255769018654;0.44354671050167094;0.5943987836302983;0.4056002940262875
Chelsea;3;2;Newcastle Utd;11/03/2024;1.91;4.0;3.6;1.44;2.7;0.39142533961501724;0.24731899406558094;0.3612548374662523;0.5553619361435913;0.4446376107082606
Bournemouth;4;3;Luton Town;13/03/2024;1.5;4.75;5.75;1.44;2.7;0.36519880202731936;0.2247089716190534;0.4100880164791605;0.6675242575663981;0.33247228929894385
Luton Town;1;1;Nott'ham Forest;16/03/2024;2.8;3.5;2.45;1.67;2.15;0.45441481244607096;0.22075199946809682;0.32482710966208445;0.6758361544993979;0.3241598304788794
Burnley;2;1;Brentford;16/03/2024;3.25;3.6;2.15;1.75;2.05;0.2943565757641583;0.2635117907357971;0.44213126251487594;0.46669130759318367;0.5333086073850123
Fulham;3;0;Tottenham;16/03/2024;3.5;3.8;1.95;1.48;2.6;0.3399710226353371;0.2373158524407805;0.4227113697539604;0.5990841268510094;0.4009148692272176
West Ham;1;1;Aston Villa;17/03/2024;2.63;3.75;2.45;1.57;2.35;0.3365138475589847;0.2325778387980456;0.4309058257258323;0.6211976665489688;0.37880083704274253
Newcastle Utd;4;3;West Ham;30/03/2024;1.83;4.2;3.8;1.5;2.5;0.5415995612697238;0.209821297719282;0.24856593187807918;0.6743712292359929;0.3256248611283791
Bournemouth;2;1;Everton;30/03/2024;2.2;3.6;3.2;1.7;2.1;0.38986165561455777;0.2668689201626287;0.3432691880370319;0.46756738282369026;0.5324325306855515
