Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U;
Manchester Utd;1;0;Luton Town;11/11/2023;1.33;5.25;9.5;1.53;2.4;;;;;;
Crystal Palace;2;3;Everton;11/11/2023;2.45;3.2;3.0;2.25;1.62;;;;;;
Bournemouth;2;0;Newcastle Utd;11/11/2023;4.75;4.0;1.73;1.7;2.1;;;;;;
West Ham;3;2;Nott'ham Forest;12/11/2023;1.85;3.6;4.0;1.75;2.05;;;;;;
Liverpool;3;0;Brentford;12/11/2023;1.4;5.0;6.5;1.44;2.7;;;;;;
Aston Villa;3;1;Fulham;12/11/2023;1.57;4.2;5.5;1.7;2.1;;;;;;
Brighton;1;1;Sheffield Utd;12/11/2023;1.25;5.75;13.0;1.4;2.88;;;;;;
Chelsea;4;4;Manchester City;12/11/2023;5.0;3.7;1.73;1.88;2.02;;;;;;
Manchester City;1;1;Liverpool;25/11/2023;1.73;4.2;4.2;1.48;2.6;;;;;;
Burnley;1;2;West Ham;25/11/2023;3.4;3.5;2.05;1.75;2.05;;;;;;
Nott'ham Forest;2;3;Brighton;25/11/2023;3.2;3.6;2.15;1.73;2.08;;;;;;
Sheffield Utd;1;3;Bournemouth;25/11/2023;3.2;3.5;2.2;1.85;2.05;;;;;;
Newcastle Utd;4;1;Chelsea;25/11/2023;2.55;3.5;2.63;1.86;2.04;;;;;;
Luton Town;2;1;Crystal Palace;25/11/2023;3.6;3.3;2.1;2.15;1.67;;;;;;
Brentford;0;1;Arsenal;25/11/2023;4.5;3.75;1.75;1.9;2.0;;;;;;
Tottenham;1;2;Aston Villa;26/11/2023;2.3;3.8;2.8;1.5;2.5;;;;;;
Everton;0;3;Manchester Utd;26/11/2023;2.7;3.4;2.55;1.85;2.05;;;;;;
Fulham;3;2;Wolves;27/11/2023;2.38;3.3;3.0;2.08;1.73;;;;;;
Brentford;3;1;Luton Town;02/12/2023;1.45;4.5;6.5;1.7;2.1;;;;;;
Arsenal;2;1;Wolves;02/12/2023;1.25;5.5;12.0;1.65;2.2;;;;;;
Burnley;5;0;Sheffield Utd;02/12/2023;1.8;3.6;4.5;2.06;1.84;;;;;;
Nott'ham Forest;0;1;Everton;02/12/2023;2.75;3.25;2.6;2.05;1.75;;;;;;
Newcastle Utd;1;0;Manchester Utd;02/12/2023;1.91;3.75;3.8;1.67;2.15;;;;;;
Bournemouth;2;2;Aston Villa;03/12/2023;3.4;4.0;1.95;1.53;2.4;;;;;;
Liverpool;4;3;Fulham;03/12/2023;1.25;6.5;9.0;1.4;2.88;;;;;;
Chelsea;3;2;Brighton;03/12/2023;1.73;4.2;4.2;1.53;2.4;;;;;;
West Ham;1;1;Crystal Palace;03/12/2023;2.0;3.5;3.8;2.04;1.86;;;;;;
Manchester City;3;3;Tottenham;03/12/2023;1.29;6.0;9.0;1.36;3.1;;;;;;
Wolves;1;0;Burnley;05/12/2023;1.85;3.6;4.2;2.05;1.85;;;;;;
Luton Town;3;4;Arsenal;05/12/2023;17.0;7.0;1.18;1.65;2.2;;;;;;
Sheffield Utd;0;2;Liverpool;06/12/2023;12.0;7.5;1.2;1.33;3.4;;;;;;
Crystal Palace;0;2;Bournemouth;06/12/2023;2.25;3.5;3.1;2.01;1.89;;;;;;
Brighton;2;1;Brentford;06/12/2023;1.91;3.8;3.75;1.62;2.25;;;;;;
Fulham;5;0;Nott'ham Forest;06/12/2023;2.0;3.4;3.75;2.06;1.84;;;;;;
Aston Villa;1;0;Manchester City;06/12/2023;4.75;4.2;1.7;1.53;2.4;;;;;;
Manchester Utd;2;1;Chelsea;06/12/2023;2.88;3.4;2.45;1.65;2.2;;;;;;
Everton;3;0;Newcastle Utd;07/12/2023;3.25;3.25;2.25;1.96;1.94;;;;;;
Tottenham;1;2;West Ham;07/12/2023;1.75;4.2;4.2;1.5;2.5;;;;;;
Crystal Palace;1;2;Liverpool;09/12/2023;6.0;4.5;1.5;1.65;2.2;;;;;;
Manchester Utd;0;3;Bournemouth;09/12/2023;1.55;4.33;5.75;1.5;2.5;;;;;;
Wolves;1;1;Nott'ham Forest;09/12/2023;1.85;3.6;4.33;2.06;1.84;;;;;;
Brighton;1;1;Burnley;09/12/2023;1.5;4.75;6.0;1.57;2.35;;;;;;
Sheffield Utd;1;0;Brentford;09/12/2023;4.2;3.8;1.75;1.95;1.95;;;;;;
Aston Villa;1;0;Arsenal;09/12/2023;3.3;3.6;2.1;1.7;2.1;;;;;;
Everton;2;0;Chelsea;10/12/2023;3.1;3.5;2.25;1.75;2.05;;;;;;
Fulham;5;0;West Ham;10/12/2023;2.38;3.5;2.9;1.9;2.0;;;;;;
Luton Town;1;2;Manchester City;10/12/2023;17.0;8.0;1.14;1.36;3.1;;;;;;
Tottenham;4;1;Newcastle Utd;10/12/2023;2.15;3.8;3.1;1.53;2.4;;;;;;
Nott'ham Forest;0;2;Tottenham;15/12/2023;4.2;4.2;1.73;1.62;2.25;;;;;;
Manchester City;2;2;Crystal Palace;16/12/2023;1.18;8.0;13.0;1.44;2.7;;;;;;
Chelsea;2;0;Sheffield Utd;16/12/2023;1.22;6.5;13.0;1.5;2.5;;;;;;
Newcastle Utd;3;0;Fulham;16/12/2023;1.8;3.8;4.0;1.7;2.1;;;;;;
Burnley;0;2;Everton;16/12/2023;3.6;3.4;2.1;2.05;1.75;;;;;;
Brentford;1;2;Aston Villa;17/12/2023;3.2;3.75;2.1;1.7;2.1;;;;;;
West Ham;3;0;Wolves;17/12/2023;2.15;3.5;3.3;1.95;1.95;;;;;;
Arsenal;2;0;Brighton;17/12/2023;1.44;5.0;6.0;1.53;2.4;;;;;;
Liverpool;0;0;Manchester Utd;17/12/2023;1.3;6.0;8.0;1.33;3.4;;;;;;
Crystal Palace;1;1;Brighton;21/12/2023;3.3;3.3;2.15;1.99;1.91;;;;;;
Aston Villa;1;1;Sheffield Utd;22/12/2023;1.22;6.5;12.0;1.44;2.7;;;;;;
West Ham;2;0;Manchester Utd;23/12/2023;2.6;3.6;2.6;1.7;2.1;;;;;;
Luton Town;1;0;Newcastle Utd;23/12/2023;4.75;4.2;1.65;1.75;2.05;;;;;;
Fulham;0;2;Burnley;23/12/2023;1.67;3.75;5.25;1.92;1.98;;;;;;
Tottenham;2;1;Everton;23/12/2023;1.75;4.2;4.0;1.53;2.4;;;;;;
Nott'ham Forest;2;3;Bournemouth;23/12/2023;2.75;3.4;2.55;1.95;1.95;;;;;;
Liverpool;1;1;Arsenal;23/12/2023;2.38;3.6;2.8;1.7;2.1;;;;;;
Wolves;2;1;Chelsea;24/12/2023;3.75;3.75;1.91;1.86;2.04;;;;;;
Newcastle Utd;1;3;Nott'ham Forest;26/12/2023;1.5;4.33;5.75;1.8;2.0;;;;;;
Bournemouth;3;0;Fulham;26/12/2023;2.15;3.6;3.2;1.73;2.08;;;;;;
